Unnamed: 0,date,content,rating,isEdited,userName,title,developerResponse,sentiment,matched_python
126,2019-02-21 07:50:29,I’ve had a great time learning python with this app. Fun challenges and tutorials. Mixing this app with the only website is key. Good stuff for anyone wanting to learn data science.,5,False,VisionReached,Awesome app for learning 👏,,POSITIVE,python
135,2021-02-13 20:58:37,It has really helped me learn python for my advanced decision analytics class. Really love the occasional problems thrown in to check on your learning,5,False,ReidD92,Great help,,POSITIVE,python
139,2020-01-06 02:30:15,"I think this is the one of the best apps for people like me who just started using python, It has helped me a lot with it and I’m so grateful! Thanks!",5,False,person_beast96,Great app!,,POSITIVE,python
154,2022-07-06 14:15:32,"One of the first exercises has you calculating ROI, I had no idea what the app wanted me to do. I tried (a - b / b)*100, I tried using an exponent. Can't really be bothered to keep trying. Guess that's what I get for learning python on a phone app.",2,False,JonestownMassacre,Not happy,,NEGATIVE,python
191,2019-03-11 22:04:01,"What an app. Learning python very easily. Learned R pretty fast.

Hope they introduce advance python and R.

Just love the app",5,False,subhodip maulik,"Super fun, super easy to learn",,POSITIVE,python
208,2020-02-05 21:53:49,"Transferring from MATlab to python for school and this app is great, a bit like duolingo for coding.",4,False,Platypus135,Great for beginning to learn python.,,POSITIVE,python
247,2022-05-26 03:15:12,Why does it keep crashing now that I am on intermediate python?,1,False,Cameron Dilney,Crashing,,NEGATIVE,python
281,2017-10-23 23:49:13,Awesome way to get started with python. Highly recommend.,5,False,thomas929292,Great way to learn python,,POSITIVE,python
283,2017-12-31 20:03:11,dc makes learning so easy. i was stuck in my python path but i have progressed alot in only 2 days of intermittent use,5,False,-Fosite-,can you make 10 stars an option.,,POSITIVE,python
289,2018-11-25 00:12:57,At this point the iPad app should be a fully supported device even the ability to compile or run python,2,False,Cicorias1,Landscape support in iPad,,NEGATIVE,python
300,2022-08-16 13:06:28,"I have been trying to learn python programming for a couple of months. I bought books, watched YouTube videos, and watched coders on twitch. I came across DataCamp and tried the free modules to fill in the gaps of my patched together learning. After two days of going through the modules, I hit the pay wall and could not find my credit card fast enough. I learned so much in that time that I paid for the certification. Then I found all the other learning features. I am sold on this.",5,False,Swkprof,Use this service!!!,,POSITIVE,python
332,2019-04-02 12:51:05,"Learning to code is intimidating. 
DataCamp makes it a lot easier.
Although, it’s still challenging when you’re trying to learn a new skill.  I’ve been learning python and the app is great.",5,False,Upgrade.,Great app,,POSITIVE,python
333,2019-03-26 01:36:57,"DataCamp on iPad can help folks learn and practice programming concepts. It does it in a way that lets the user figure stuff out.

This helps me practice concepts I’m learning in my CS classes.

I’ve got R, SQL and Python classes on DataCamp. It helps me practice skills. Also, just reading code and figuring out what it’s doing is helping me in my algorithms class where we are using python.

👍👍",5,False,E86HotWheels,Soft intro to programming,,POSITIVE,python
340,2018-04-08 14:54:16,This app is great when you don’t have a computer in front of you . It’s able to give you the basic concepts you will need to code your python. I love it. When I lunch or break at work I go to this app and work on this app. Repetitive skills will help you remember.  Bravo,5,False,ace29703,Great,,POSITIVE,python
