Unnamed: 0,date,review,rating,isEdited,userName,title,developerResponse,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
35,2018-12-14 01:19:35,"I am not writing this review because the app asked me to. I am also not the kind of person to write reviews. BUT, SoloLearn is amazing! Such a great learning app (and website). Just decide to learn a language and use this fun interactive app and Voila! One really cool thing is that for each lesson you can read other people’s comment about that particular lesson. So if you dont understand something, you will be able to understand it from comments and other people. I am very happy that I found this app.",5,False,I am Atra,This app is even funner than game apps!,,POSITIVE,writing review app asked also kind person write reviews sololearn amazing great learning app website decide learn language use fun interactive app voila one really cool thing lesson read peoples comment particular lesson dont understand something able understand comments people happy found app,status quo sloth,person
42,2017-11-20 01:41:55,"This app has been extremely helpful in every way for aiding in learning different coding languages for free. As a college students, it has been extensively helpful in my studies, and I find it quite convenient to use with its dumbed down explanations of many complex ideas. It breaks down logical systems very fluidly to the point where even the average person could understand it with enough time and thought. 
Definitely worth my time to use, would rate again 5/5.",5,False,MiztarPi314,"Easy to Use, Free and Simple",,POSITIVE,app extremely helpful every way aiding learning different coding languages free college students extensively helpful studies find quite convenient use dumbed explanations many complex ideas breaks logical systems fluidly point even average person could understand enough time thought definitely worth time use would rate 55,status quo sloth,person
45,2020-05-20 22:35:07,"I am interested, but found it impossible to assess this app because they do not share pricing information or let you even browse the app unless you create an account with them.  Let's face it, 99 out of 100 apps turn out to be useless, and nobody needs an account with someone they don't care to do business with.

When a developer refuses to show me anything or share pricing info unless I create an account, I figure they must have something to hide, or at least very little to show.  I was interested enough to download the app, and to write this review.  That should have been enough to get a chance to find out what I would get for my money without having to create account.",1,False,rwizard,Fundamental Flaw,"{'id': 15573252, 'body': ""Thanks for your feedback!\nWe'd like to inform you that the entire content of SoloLearn is completely free! The SoloLearn premium subscription enables advanced tools and provides uninterrupted ad-free access to learning. It is up to you to choose the preferred option of SoloLearn. Creating an account helps to track your progress and allows you to earn certificates when you complete courses. For more information please contact us at info@sololearn.com"", 'modified': '2020-05-26T12:50:22Z'}",NEGATIVE,interested found impossible assess app share pricing information let even browse app unless create account lets face 99 100 apps turn useless nobody needs account someone dont care business developer refuses show anything share pricing info unless create account figure must something hide least little show interested enough download app write review enough get chance find would get money without create account,status quo sloth,account
49,2019-07-29 20:11:34,At first I was like this is going to be one of those apps where it disappoints you because it’s starts you where you should already know some coding but I really starts you off as a beginner helping you and giving you easy problems to solve. You can even battle other players for points once you get experience enough and the community is really nice. This is the app I personally would recommend if you truly want to hown your skill on 10/10👍👍👍,5,False,saucedoughboy,Review,,POSITIVE,first like going one apps disappoints starts already know coding really starts beginner helping giving easy problems solve even battle players points get experience enough community really nice app personally would recommend truly want hown skill 1010,status quo sloth,person
52,2023-03-18 01:03:38,"The business model where an app is created to be downloaded and used for free and then keep annoying the user to pay for the services should be outdated by now. Especially, when those who paid for the service point out there is not much exceptional about the paid version. Developers better find a way to negotiate for a better cut from the hardware manufacturares than continue this path of deceiving business model. I don’t know who out there would decide to pay just because an annoying pop up message keeps appearing when every time the app is turned on for use.",1,False,fvck_capitalism,Annoying popup for subscription,,NEGATIVE,business model app created downloaded used free keep annoying user pay services outdated especially paid service point much exceptional paid version developers better find way negotiate better cut hardware manufacturares continue path deceiving business model dont know would decide pay annoying pop message keeps appearing every time app turned use,boosters,special
53,2019-08-21 12:03:01,"This app is great for learning the basics of a new programming language. I use it everyday to learn new things and I especially love the challenge feature. I don't recommend using solely sololearn, but rather along side your own projects and practice. I have one complaint however, that is when viewing the leaderboard in the following tab, if you choose 'Today', the app will crash. In summary, if you are looking to learn something new, this is the place.",5,False,Ejidifhsodhdbjdkdf,Recommended,,POSITIVE,app great learning basics new programming language use everyday learn new things especially love challenge feature dont recommend using solely sololearn rather along side projects practice one complaint however viewing leaderboard following tab choose today app crash summary looking learn something new place,"challenges, leaderboard/competition, boosters, status quo sloth","challeng, leaderboard, special, leaderboard"
56,2023-03-18 08:01:21,"Hello! this is one of the best mobile programming apps i’ve ever come across so far and just the best app for beginners as well. i had difficulties coding when ever i wasn’t home until i met this amazing app. it’s user friendly and diversified with its courses. this app actually reminds me of my school days way back 😂 and i’d like to recommend it to other programmers, especially beginners!
Thanks to the programming #Team ✊🏾",5,False,Xtreme396,Mobile Coding,,POSITIVE,hello one best mobile programming apps ive ever come across far best app beginners well difficulties coding ever wasnt home met amazing app user friendly diversified courses app actually reminds school days way back id like recommend programmers especially beginners thanks programming team,boosters,special
62,2018-04-06 11:53:31,"When people start giving less than five stars for a free education that’s when I question life. 😭 it’s free education!!! And it’s a fun and easy way to learn. I can’t believe it’s FREE. even if it has bugs, crashes, doesn’t update (which I’m not saying it does. It’s a flawless app) the amount of information especially just he simple fact it’s coding languages and it’s FREE BOGGLES MY MIND. supportive community. Get this if your interested in learning coding and languages.",5,False,iFinesse,5 stars no less.,,NEGATIVE,people start giving less five stars free education thats question life free education fun easy way learn cant believe free even bugs crashes doesnt update im saying flawless app amount information especially simple fact coding languages free boggles mind supportive community get interested learning coding languages,boosters,special
63,2022-04-15 21:11:09,"This app is very easy to follow with an engaging interface, with many options on courses. Other than a few times, I felt like I understood everything going on. The app allows you to share programs and talk to the community very easily. As a bonus, few things are hidden behind the paywall. I would recommend this app to anyone and everyone!!",5,False,meperso,SoLearn is one of the best learn-to-code apps,,POSITIVE,app easy follow engaging interface many options courses times felt like understood everything going app allows share programs talk community easily bonus things hidden behind paywall would recommend app anyone everyone,torture breaks,paywal
68,2019-06-23 16:31:41,"This app is simply amazing and extremely accessible. If you’re a beginner/someone with no coding experience, there are many interactive lessons to teach you countless programming languages with different levels of difficulty. 
In my opinion, the best features are the challenges and coding playground. Definitely give this a go before trying out other coding apps, because this might be the one for you.",5,False,DanielKoKoKo,Great for coders of all levels!,,POSITIVE,app simply amazing extremely accessible youre beginnersomeone coding experience many interactive lessons teach countless programming languages different levels difficulty opinion best features challenges coding playground definitely give go trying coding apps might one,challenges,challeng
70,2021-03-07 07:03:17,"I do understand that the common mobile app strategy is to have pop up ads come while using the app to push users to buy the pro version, but that does not work for SoloLearn. Interrupting me every section (especially with four questions) to see an ad was a huge turnoff for me and I’ve lost interest in even wanting to spend money here. And I’ve been a learner since 2019.

My suggestion: rewrite the structure of the curriculum entirely, cutoff the lesson to one unit for the free version or find another way to interject ads. Whoever made that decision to do ads like that is not good in stakeholder engagement.",1,False,Dr3rd,Find another way to pay your bills,,NEGATIVE,understand common mobile app strategy pop ads come using app push users buy pro version work sololearn interrupting every section especially four questions see ad huge turnoff ive lost interest even wanting spend money ive learner since 2019 suggestion rewrite structure curriculum entirely cutoff lesson one unit free version find another way interject ads whoever made decision ads like good stakeholder engagement,boosters,special
74,2019-07-23 16:40:10,"I literally knew nothing about coding or even HTML, this app makes it simple for even a person/persons to be able to understand the lingo that is spoken within the app. Not only does it allow you to easily understand but shows you a step by step process that you can apply what you have learned along the way, so multiple learning styles can grasps the concept.",5,False,darren5812,"I knew nothing about HTML, but now.......",,POSITIVE,literally knew nothing coding even html app makes simple even personpersons able understand lingo spoken within app allow easily understand shows step step process apply learned along way multiple learning styles grasps concept,status quo sloth,person
85,2021-01-12 11:30:58,"This is a self-paced learning system with practice exercises that are essentially canned solutions with no constructive feedback from monitors. It’s useful to compare this app with Khan Academy or Brilliant; both provide explicit feedback on exercises, and have help and “contact us” options. This app does not. It relies on “chat” pages which are a chaotic mix of users, in multiple languages essentially firing off random posts and solutions.

Cynically, this is a demo of how to make money designing and launching an app and then sitting back and collecting revenue, without really having to expend any time in actually running a teaching program.",1,False,Rcarnes,Launched and left to collect money,,NEGATIVE,selfpaced learning system practice exercises essentially canned solutions constructive feedback monitors useful compare app khan academy brilliant provide explicit feedback exercises help contact us options app relies chat pages chaotic mix users multiple languages essentially firing random posts solutions cynically demo make money designing launching app sitting back collecting revenue without really expend time actually running teaching program,visual grave,constructive feedback
90,2020-03-26 19:06:08,"Me being an aspiring engineer wanted to learn coding. The session kept on resetting and I made four new accounts. But I also realized that everything beside HTML/CSS/JS is console. JavaScript console log was fine but all the other languages besides the three were console. I was here to make a game not write things in a console. If you wan’t to make a game learn HTML/CSS/JS, but if you wan’t to make a game with more advanced or high level programming languages find a new application for programming.",4,False,Jajsjxncjcjdndndns,Some Updates,,NEGATIVE,aspiring engineer wanted learn coding session kept resetting made four new accounts also realized everything beside htmlcssjs console javascript console log fine languages besides three console make game write things console want make game learn htmlcssjs want make game advanced high level programming languages find new application programming,status quo sloth,account
99,2023-01-12 03:19:59,"I didn’t know I was going to resub, I was got by the subscription bandits at Sololearn, I’ve been actively reaching out seeking information on if I can get a refund as I haven’t used the service whatsoever and it’s been only a few days since the charge to my account, all of those days have been spent emailing Sololearn with not so much as a confirmation email in return. I will not use a product that has such a poor customer service system to where the only means of contact is a run down email system on their website.",1,False,pof is a joke,Make sure you unsub,"{'id': 34307418, 'body': 'Hi Pof is a joke,\nSololearn is a subscription service. You may cancel your subscription at any time.\r\nWe do not refund or prorate unused portions of a subscription. This means that if you cancel your subscription, it will no longer auto-renew, but you will retain access to all PRO features of our learn to code app until the end of your subscription. \n\nIf you believe that you have a valid case for an exception to our no-refund policy, please contact Sololearn Support by providing feedback from the app/website or emailing info@sololearn.com.', 'modified': '2023-01-16T10:02:09Z'}",NEGATIVE,didnt know going resub got subscription bandits sololearn ive actively reaching seeking information get refund havent used service whatsoever days since charge account days spent emailing sololearn much confirmation email return use product poor customer service system means contact run email system website,status quo sloth,"custom, account"
104,2022-07-01 16:21:20,"Nobody wants to comb forums full of spam and bots for solutions. JUST PROVIDE THE QUIZ SOLUTIONS. Most people learn by seeing problem, answer, and finding the paths between. I've worked TWO DAYS on the first Java quiz and can't get past it, and the forums are ZERO help. Complete waste of money. I'm looking for another course on other platforms. Stop treating students like they're stupid and trying to get them to jump through hoops to learn. If someone is stuck on a problem, especially in the beginning, seeing the solution should be one click away.",1,True,bellaisabeast,Poorly designed courses,"{'id': 30663490, 'body': 'Hello! Thanks for your feedback! We are sorry for the inconvenience! Please send more detailed information to us at info@sololearn.com so that we can help resolve the issue. Looking forward to hearing from you! Also, note that you can unlock answers with Bits.\n', 'modified': '2022-07-01T16:21:21Z'}",NEGATIVE,nobody wants comb forums full spam bots solutions provide quiz solutions people learn seeing problem answer finding paths ive worked two days first java quiz cant get past forums zero help complete waste money im looking another course platforms stop treating students like theyre stupid trying get jump hoops learn someone stuck problem especially beginning seeing solution one click away,boosters,special
107,2019-08-31 03:59:15,"It’s totally an amazing learning tool. It’s just about a week that I have this app and I have learned so much from it. I have a free account so there’s some ads around but not in the way and not annoying. The app is really user friendly and easy, the learning method is enjoyable and the BEST is that you can practice codes inside the app.
Thank you dear publishers! Thank you so much.",5,False,Fearless Iranian from Hell,AMAZING,,POSITIVE,totally amazing learning tool week app learned much free account theres ads around way annoying app really user friendly easy learning method enjoyable best practice codes inside app thank dear publishers thank much,status quo sloth,account
111,2019-10-28 13:56:33,"The app has ridiculous ""badges"" for achieving the task of replying to the email they sent you to validate your account.   That is regular operating procedure, not an achievement.  There is no pressure to upgrade, you will get to a point where the app tells you there is an updated version in the app and you should goto the app.   Ut you opened the app to get the message, what they want is money to proceed, which I am willing to do, if I believed there were solid coding skills in the other side of the payment, but they cannot get the app right.  Ridiculous effort, UI and communications FAIL",1,False,iRetlaw iTunes acct,Dead end for learning,,NEGATIVE,app ridiculous badges achieving task replying email sent validate account regular operating procedure achievement pressure upgrade get point app tells updated version app goto app ut opened app get message want money proceed willing believed solid coding skills side payment cannot get app right ridiculous effort ui communications fail,status quo sloth,account
113,2020-09-14 16:49:40,"Only thing I would change is when are in challenges with other people, delete the cap on the amount of characters you can insert as the answer because it gives away the answer. Also, spell check some of the questions. The spelling will be off so I will get the answer wrong.",5,False,astrenat,Amazing app 5/5,,NEGATIVE,thing would change challenges people delete cap amount characters insert answer gives away answer also spell check questions spelling get answer wrong,challenges,challeng
115,2018-05-16 16:04:11,I recommend SoloLearn to my students because it breaks down programming fundamentals into easily digestible chunks. It is so important for people with little or no background in programming to be able to have learning tools that have a good balance of being challenging without causing too much frustration early on. SoloLearn is great at finding that balance.,5,False,alannarisse,Great for students new at coding,,POSITIVE,recommend sololearn students breaks programming fundamentals easily digestible chunks important people little background programming able learning tools good balance challenging without causing much frustration early sololearn great finding balance,challenges,challeng
116,2020-06-09 07:04:16,"I do really love this app, I even subscribed to the pro account but for the last couple of days the app has been crashing and doesn’t load. It randomly works sometimes then immediately begins to crash again. I thought it was just my device until I asked others who used the app and they had the same complaint. Please fix this.",4,False,ayee5ive,I really love this app but...,,NEGATIVE,really love app even subscribed pro account last couple days app crashing doesnt load randomly works sometimes immediately begins crash thought device asked others used app complaint please fix,status quo sloth,account
122,2017-11-27 03:00:45,"I was using the Swift app by this company and I am unable to use it anymore... it says there is an “updated” version in this app, so I had to download this one to continue. 

However, even though I connected my account, it doesn’t show my progress in the course. I had made it about halfway through the entire thing, and now I would have to start over. 

Obviously, I’m not doing that and I’ll just look elsewhere. It’s totally inconvenient to have to redo everything I’ve already accomplished. I can’t even “test out” because I had some issues with a few concepts and you have an “if you miss a question, you can’t test out” rule... which makes sense, but I’ve literally gone through all this stuff once already. 

Anyway, I’m not doing it all again. I recommend finding a different app that actually has syncing capabilities.",1,False,SailorTriforce,Doesn’t connect to their other apps,"{'id': 1858660, 'body': 'Hi, \nOur apps do sync progress, if you use the same account.\nPlease contact us via info@sololearn.com and we will help!', 'modified': '2017-11-27T15:15:11Z'}",NEGATIVE,using swift app company unable use anymore says updated version app download one continue however even though connected account doesnt show progress course made halfway entire thing would start obviously im ill look elsewhere totally inconvenient redo everything ive already accomplished cant even test issues concepts miss question cant test rule makes sense ive literally gone stuff already anyway im recommend finding different app actually syncing capabilities,status quo sloth,account
126,2022-01-18 17:52:42,"I’ve never coded before, nor am I a techy person at all. Just looking for a career change and thought I’d check out coding! I’ve never even heard of the different coding programs or languages out there, but I’m finding it to be fairly simple thanks to this interactive learning app. Thanks Sololearn 👍🏼",5,False,NewguyNRG,Newbie,,POSITIVE,ive never coded techy person looking career change thought id check coding ive never even heard different coding programs languages im finding fairly simple thanks interactive learning app thanks sololearn,status quo sloth,person
131,2022-08-27 18:48:46,"There are sections with buttons that don’t appear disabled or do the expected action, when you press ‘check’ you expect to find out if you are wrong or right, if wrong, you learn from your mistake, not get stuck in a loop. The experience is clunky and not as fluid as you would expect in this day in age. Feels like this app is still under development. 

-There is no free trial for pro
-Pay for hints and answers with micro currency 
-Explanations are often lacking which necessitates the need to use Google or pay with said micro currency 
-Open and closing is difficult on a phone and I would rather manually type it

If you’re looking for a gamified, fun, fluid learning experience, I don’t believe this app is it. I’m a sucker for this model and I couldn’t get sucked in.",1,False,Phillysk,No answer validation or disabled buttons,"{'id': 31713662, 'body': 'Hello! Thanks for your feedback! We are sorry for the inconvenience! Please send more detailed information to us at info@sololearn.com so that we can help resolve the issue. Looking forward to hearing from you!', 'modified': '2022-08-29T08:42:53Z'}",NEGATIVE,sections buttons dont appear disabled expected action press check expect find wrong right wrong learn mistake get stuck loop experience clunky fluid would expect day age feels like app still development free trial pro pay hints answers micro currency explanations often lacking necessitates need use google pay said micro currency open closing difficult phone would rather manually type youre looking gamified fun fluid learning experience dont believe app im sucker model couldnt get sucked,visual grave,learn mistak
132,2018-12-21 13:58:43,"I’m actually preparing for a web technology interview. This course has been awesome. They break everything down in short, but detailed segments. The learning plans give you the next best topic to study naturally without you having to pick. The challenges are great, and they increase in difficulty but you gain confidence along the way!",5,False,Mo_Biglow,Awesome & Fun- real review,,POSITIVE,im actually preparing web technology interview course awesome break everything short detailed segments learning plans give next best topic study naturally without pick challenges great increase difficulty gain confidence along way,challenges,challeng
136,2019-02-05 00:36:05,"This is the best app or more than that for not even learning coding languages from basic but you can run codes instantly, see others codes that shared and for each step of learning there is an active comment section that can learn more deeply. In nutshell it's a virtual yet lively free university of coding and it's so fun!👌🏻👌🏻👌🏻",5,False,Rojan50,It's not just an app it's an alive beautiful world!✌🏻 🌎,,POSITIVE,best app even learning coding languages basic run codes instantly see others codes shared step learning active comment section learn deeply nutshell virtual yet lively free university coding fun,torture breaks,live
137,2020-10-05 18:23:30,"I need you guys to refund my money ASAP! I downloaded the free version of this yesterday, and today I go on to log on and a pop up ... popped up prompting me to enter in my Apple iPhone password to continue and add my fingerprint. Next thing I know you guys enrolled me in the pro option and charged me $47!!!! I thought the app wanted me to verify my account and set up a security  finger print to log in... NOT to automatically enroll me in the pro version and charge me!!! Please fix this. Refund my money now and put me back on the free option.",1,False,jg6891,I did not sign up for pro option,"{'id': 18345487, 'body': 'Hello,\nThanks for your feedback!\n\nPlease note that if you subscribed to SoloLearn PRO using your Apple ID, refunds are handled by Apple, not SoloLearn.\nHave a nice day!', 'modified': '2020-10-08T09:22:19Z'}",NEGATIVE,need guys refund money asap downloaded free version yesterday today go log pop popped prompting enter apple iphone password continue add fingerprint next thing know guys enrolled pro option charged 47 thought app wanted verify account set security finger print log automatically enroll pro version charge please fix refund money put back free option,status quo sloth,account
138,2019-12-03 12:39:23,It may be the best app for learning multiple languages on your phone but I have personally discovered that I need to supplement it with other methods of learning since some of the material can be a bit vague and with no in depth explanations other than through the community. Solid app that gets the point across and lets you experiment with different coding languages.,4,False,AngryLookingGuy,Possibly the best,,POSITIVE,may best app learning multiple languages phone personally discovered need supplement methods learning since material bit vague depth explanations community solid app gets point across lets experiment different coding languages,status quo sloth,person
141,2017-12-23 13:30:16,"This app is good, I’m the furthest thing from a computer person, like dumber than dirt I might need a “Programming for dummies” book. But the basic lessons don’t seem to start out as 100% basic. I feel they throw you into a learning lesson for people that already have an idea or programming or atleast the jargon for it. I’ve redone some lessons and I’m starting to get it after practicing and it is a good app once you get the feel for it.",3,False,Joe Snuffy14,Don’t feel it’s for beginners,,NEGATIVE,app good im furthest thing computer person like dumber dirt might need programming dummies book basic lessons dont seem start 100 basic feel throw learning lesson people already idea programming atleast jargon ive redone lessons im starting get practicing good app get feel,status quo sloth,person
143,2021-10-09 22:41:51,"If you want to learn coding this is great

It has courses for every big language plus some you’ve maybe never even heard of, it is sometimes confusing and the html course is a little outdated but it is still great for learning

It has a compiler with the app plus lots of practice challenges. And if you have questions you can ask the community or answer other peoples questions.

And on top of all of that, it’s all free and completely optional to get the pro version

Would definitely recommend to anyone who wants to learn programming",5,False,:^),Best way to learn coding,,POSITIVE,want learn coding great courses every big language plus youve maybe never even heard sometimes confusing html course little outdated still great learning compiler app plus lots practice challenges questions ask community answer peoples questions top free completely optional get pro version would definitely recommend anyone wants learn programming,challenges,challeng
