Unnamed: 0,date,review,rating,isEdited,title,userName,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
61,2018-10-19 16:16:26,"I utilize the desktop site and think it’s a good service, and good way to learn coding. The difference with the app is you have to have a pro account for JavaScript practice and learning. This makes me want to practice on other coding learning apps",5,False,Pro,5e7en,POSITIVE,utilize desktop site think good service good way learn coding difference app pro account javascript practice learning makes want practice coding learning apps,status quo sloth,account
78,2020-04-12 15:09:27,"I got the app when I was on my free trial of pro, and now once the trial ended it’s still showing pro stuff, I’m also not using pro on my account anymore. Is there a way I can fix this?",4,False,"Works good, there is one little problem though",BestNumber_72,NEGATIVE,got app free trial pro trial ended still showing pro stuff im also using pro account anymore way fix,status quo sloth,account
81,2023-03-16 23:15:59,"In order to sign in, you have to sign up.
 In order to sign up, you have to sign in with either a Google account or a Facebook account. 
I am very much against both Facebook and Google and therefore I am not able to use this app at all. The requirement to sign in with either Facebook or Google is very limiting and restrictive.",1,False,Just A Vehicle For Facebook & Google,SoloDanceParty,NEGATIVE,order sign sign order sign sign either google account facebook account much facebook google therefore able use app requirement sign either facebook google limiting restrictive,status quo sloth,account
97,2019-06-10 17:22:04,"I couldn’t sign up with my iCloud email on the app, and then couldn’t login using the account I made via their mobile website. I played with it for 20 minutes and it’s a frustrating waste of time. The error messages simply state I am “unable to login at this time.” Stop making sleek, beautifully animated apps if users cannot even use your app.",1,False,Unable to Sign Up and Login,Kyder99,NEGATIVE,couldnt sign icloud email app couldnt login using account made via mobile website played 20 minutes frustrating waste time error messages simply state unable login time stop making sleek beautifully animated apps users cannot even use app,status quo sloth,account
122,2020-12-12 04:33:48,"I'm really enjoying learning Python with codecademy. The mix of lectures, hands on and coding challenges are great. I also like using the phone app to practice concepts.",5,False,Phone app is a great way to practice,davejet7,POSITIVE,im really enjoying learning python codecademy mix lectures hands coding challenges great also like using phone app practice concepts,challenges,challeng
139,2021-08-26 08:10:38,"I signed up to codeacademy with my LinkedIn account. However, there is no option to sign into it on the phone app and I cannot access my progress or work on my development.",2,False,Can’t login with LinkedIn account on the app,MyTurnBecauseMyNameIsMia,NEGATIVE,signed codeacademy linkedin account however option sign phone app cannot access progress work development,status quo sloth,account
142,2019-12-19 01:07:08,"If you created your account using a third party account(Facebook, LinkedIn, etc.) it does not process your login, and you are unable to set a password for your account via desktop. The website itself is good so far, this is purely a review of this app, which does not work for account holders like myself.",1,False,Login Issues,"Shackleford, Admiral Rusty",NEGATIVE,created account using third party accountfacebook linkedin etc process login unable set password account via desktop website good far purely review app work account holders like,status quo sloth,account
147,2021-03-05 21:36:32,"I’d expect an app from a company such as Codecademy to accommodate at least landscape mode, especially given the premium cost of being a member. You can have 1x iPhone or 2x iPhone in portrait only. iPads aren’t supported in the browser either.  

There are 2 years worth of viewable requests on Codecademy’s forums requesting iPad support and zero movement.",1,False,“Works on iPad” is a stretch,EOZ17gw,NEGATIVE,id expect app company codecademy accommodate least landscape mode especially given premium cost member 1x iphone 2x iphone portrait ipads arent supported browser either 2 years worth viewable requests codecademys forums requesting ipad support zero movement,boosters,special
148,2020-04-10 21:35:47,"Its an iPhone app they're trying to pass off for iPad i.e. it orients to vertical at all times. 

Can't login either. Can login using a browser but says I have the wrong pass word or wrong account. Logged out of my browser and back in no trouble after trying to use the app. Silliness.",1,False,"Despite being labeled as an iPad app, it isn't.",Camenzie,NEGATIVE,iphone app theyre trying pass ipad ie orients vertical times cant login either login using browser says wrong pass word wrong account logged browser back trouble trying use app silliness,status quo sloth,account
159,2019-06-04 05:55:06,Wanted to use the app but I couldn’t sign up. I don’t use Facebook or have an google account so I guess I’ll have to stick to using the website. So disappointing. Everyone doesn’t use Facebook or google. I should be able to just use my email that I have in order to use the app. Oh well.,1,False,No account,LuxeRose,NEGATIVE,wanted use app couldnt sign dont use facebook google account guess ill stick using website disappointing everyone doesnt use facebook google able use email order use app oh well,status quo sloth,account
180,2019-12-16 02:36:53,Good especially when you are not near a computer,5,False,Godsend to devs,sigma.dev,POSITIVE,good especially near computer,boosters,special
202,2020-12-08 08:08:40,Great interface and good content to refresh memory.,5,False,Amazing,kevvo1215,POSITIVE,great interface good content refresh memory,voting,content r
223,2021-10-15 22:43:29,In case you do not feel compelled to sign up using your social media account letting you know now before install this app is not for you.,1,False,Sign up attached to google or facebook,mynameisanymouse,NEGATIVE,case feel compelled sign using social media account letting know install app,status quo sloth,account
248,2020-10-10 15:21:47,Would sign up if I could use my regular email account but since the only two options available require linking either my Google or FB account I’m not going to.,1,False,Sign up constraints,Criostasis,NEGATIVE,would sign could use regular email account since two options available require linking either google fb account im going,status quo sloth,account
274,2019-04-19 17:20:33,I already have an account using Facebook but apparently it doesn’t let me sign in when I try to use the app with Facebook.,1,False,Can’t sign in,jdjejefnkwks,NEGATIVE,already account using facebook apparently doesnt let sign try use app facebook,status quo sloth,account
312,2020-08-25 20:54:18,Forcing to use Facebook or Google account to sign in!,1,False,No regular email registration option,أبوسما,NEGATIVE,forcing use facebook google account sign,status quo sloth,account
319,2020-09-28 15:00:50,"I’m using this to learn JavaScript, but I signed up with my Github account since I refuse to use Google or Facebook due to privacy.",1,False,GitHub login,Github stan,POSITIVE,im using learn javascript signed github account since refuse use google facebook due privacy,status quo sloth,account
328,2020-11-28 16:32:47,"Facebook login not working. So, I can’t access my pro account",1,False,Not working,General McGirt,NEGATIVE,facebook login working cant access pro account,status quo sloth,account
334,2019-11-20 01:38:18,I can not belive that there’s not an iPad version for this app. I expected better from Codecademy!,1,False,No iPad version?,Dschmunis1,NEGATIVE,belive theres ipad version app expected better codecademy,torture breaks,live
336,2020-10-13 15:13:13,why can’t i sign in with github on mobile? i don’t know how to get into my account otherwise. please add this functionality.,2,False,sign in,mav3rikc,NEGATIVE,cant sign github mobile dont know get account otherwise please add functionality,status quo sloth,account
355,2020-07-25 20:52:26,No sign in w/o google or fb account,1,False,No sign in w/o google or fb,Jay23E,NEGATIVE,sign wo google fb account,status quo sloth,account
380,2022-08-03 02:39:48,It’s a great on the go solution for learning to code with bite sexed challenges,5,False,Just what I was looking for,Mr..Dessert,POSITIVE,great go solution learning code bite sexed challenges,challenges,challeng
383,2022-04-12 01:03:43,"The platform is fantastic, the built in code editor takes the hassle out of setting up your dev environment in VScode/IDE while you’re just getting into programming. Their customer service is amazing as well. Any time I’ve had an issue they reply quickly and straight to the point. I started using Codecademy to prepare for a software development boot camp and I have to say, I was over prepared thanks to Codecademy. Their catalogue contains a WEALTH of knowledge, regardless of what discipline of software development you’re in. I recommend Codecademy to every person I meet who’s interested in programming or wants to brush up on their skills in the latest tech.
(p.s. The Pro membership is 100% worth it)",5,False,"Great platform, Great company",Shwag777,POSITIVE,platform fantastic built code editor takes hassle setting dev environment vscodeide youre getting programming customer service amazing well time ive issue reply quickly straight point started using codecademy prepare software development boot camp say prepared thanks codecademy catalogue contains wealth knowledge regardless discipline software development youre recommend codecademy every person meet whos interested programming wants brush skills latest tech ps pro membership 100 worth,status quo sloth,"person, custom"
389,2021-10-26 23:04:22,"I quote you guys “I mean pacifically those looking to learn any skills pertaining to the field software engineering and/or development a.k.a. “holding “which is a generalised vague summation of software development…I never understood the whole “learn to code” nonsense— because, “coding” in its broadest sense is nothing more than the execution of software…by that definition; anyone capable of running the following function in an IDE is a “coder”…

print(‘Hello world’)

Grats!

When I first began learning software development, resources were limited to books and websites with personal blogs…before smart phones, using Windows ‘99.

 I recently began ‘learning to code’ (I get some more accurate explanation would be remembering to code whilst learning about what’s changed in almost 15Y— i’ll admit it was a bit intimidating at first until I realise that just like always (at least when it comes to engineering/tech )Evolution is based in its simplest user friendly experience and so the UX/UI would be easy after a decade and a half of pivoting to finance for the 2nd half of my 20s. My goodness was I right.

I don’t know how to say this but python is a joke. In either case, I’ve returned to home my craft and I am blessed with a bittersweet life.

I grew up with crippling OCD/autism/ADHD and so the syntax and indentation that really bugs most developers was something I actually enjoy it and C++/CSS.

I am/was uniquely poised for this whole fintech/crypto revolution—Needless to say there were NOT many people that have an educational tantamount to an MBA in finance and Master’s computer science which is exactly what you need to fully understand fintech. I feel really stupid for paying 300 something bucks for annual subscription at DataCamp when FCC is more than enough in terms of educational resources in Data science/data analysis/machine learning/etc. 

From a former MIT grad: shout-out to the devs at FCC for expediting access to your personal resources, fundamentals and exercises. At this rate I should be up to speed by the end of the quarter! Thanks to ya’ll!

Respectfully,
-Ahmed T",5,False,You guys have no idea how lucky you have it…,Ahmad tarabichi,NEGATIVE,quote guys mean pacifically looking learn skills pertaining field software engineering andor development aka holding generalised vague summation software developmenti never understood whole learn code nonsense coding broadest sense nothing execution softwareby definition anyone capable running following function ide coder printhello world grats first began learning software development resources limited books websites personal blogsbefore smart phones using windows 99 recently began learning code get accurate explanation would remembering code whilst learning whats changed almost 15y ill admit bit intimidating first realise like always least comes engineeringtech evolution based simplest user friendly experience uxui would easy decade half pivoting finance 2nd half 20s goodness right dont know say python joke either case ive returned home craft blessed bittersweet life grew crippling ocdautismadhd syntax indentation really bugs developers something actually enjoy ccss amwas uniquely poised whole fintechcrypto revolutionneedless say many people educational tantamount mba finance masters computer science exactly need fully understand fintech feel really stupid paying 300 something bucks annual subscription datacamp fcc enough terms educational resources data sciencedata analysismachine learningetc former mit grad shoutout devs fcc expediting access personal resources fundamentals exercises rate speed end quarter thanks yall respectfully ahmed,status quo sloth,person
390,2022-02-06 17:08:20,I want a full refund on my purchase since they did not provide the service they offer. Bought the full subscription after initially liking the app but do not buy this app! Most of the courses they “offer” have content missing. Node.js missing! Really? AI stuff missing. Any advanced topic worth learning is missing. You shouldn’t offer a paid subscription if your content is not ready. Terrible! Never come across anything like this before.,1,False,Do not buy the app!,jimmycanfly247,NEGATIVE,want full refund purchase since provide service offer bought full subscription initially liking app buy app courses offer content missing nodejs missing really ai stuff missing advanced topic worth learning missing shouldnt offer paid subscription content ready terrible never come across anything like,voting,content r
426,2020-06-09 19:22:35,I tried to create account in the code academy app and I couldn’t sign up or even though I couldn’t sign in my google account. It said something wnt wrong. Can a technician support help me please?,5,False,Something went wrong,Watupgal,NEGATIVE,tried create account code academy app couldnt sign even though couldnt sign google account said something wnt wrong technician support help please,status quo sloth,account
428,2020-05-04 13:38:11,I used to be able to code back in my MySpace days 😉 but this just shows me how little I know about the behind the scenes in coding. I just started and I’m so excited to dive in. The app makes it super easy and I’m thrilled I get the chance to take this challenge on.,5,False,Awesome,Becster14,POSITIVE,used able code back myspace days shows little know behind scenes coding started im excited dive app makes super easy im thrilled get chance take challenge,challenges,challeng
447,2019-09-12 23:09:49,It’s definitely a challenge for a beginner with zero experience but I enjoyed learning concepts and testing them out. All while repeating the problems until you get it right. I look forward to learning more so it can all slow down and become more clear in translation and structure. 5 stars for this app and program!,5,False,Code academy app,wowzers1111,POSITIVE,definitely challenge beginner zero experience enjoyed learning concepts testing repeating problems get right look forward learning slow become clear translation structure 5 stars app program,challenges,challeng
464,2018-12-30 14:50:42,"Please look at alternatives to learning tech. This is a horrific company and it is nearly impossible to receive any competent support.  You have to wait several hours for a response to any website or program glitches. Fraudulent billing as they don’t deactivate your account as requested. Again, BEWARE!!!!!",1,False,BEWARE!!! BEWARE of Code Acadamy!!!,Chacha96486432668,NEGATIVE,please look alternatives learning tech horrific company nearly impossible receive competent support wait several hours response website program glitches fraudulent billing dont deactivate account requested beware,status quo sloth,account
468,2018-10-05 20:59:35,"When you sign in/up with Google account, it prompts you to a pop up that says to agree to share your info with “expo.io”. It doesn’t explain what that is. You have to agree to use the app. After signing in, it shockingly autofilled the password that I use for my Google account to the name of my app account which means it breached password and displayed it!  

Don’t know who’s responsible to this breach, but it’s illegal!",1,False,The app is a scam! Don’t use it!,JohnnyHuangSF,NEGATIVE,sign inup google account prompts pop says agree share info expoio doesnt explain agree use app signing shockingly autofilled password use google account name app account means breached password displayed dont know whos responsible breach illegal,status quo sloth,account
472,2018-08-06 19:45:32,"The practice really helps refresh my mind with concepts I have gone over in previous lessons (sure beats skimming back through them on a computer). The only issue i have with it is that it seems to log me out pretty often. More or less just annoying, especially when i want to squeeze in a quick review... don’t want to type in my username and password every time i use the app. Other than that 5 stars!",4,False,Great for quick refreshers,cseibert2667,POSITIVE,practice really helps refresh mind concepts gone previous lessons sure beats skimming back computer issue seems log pretty often less annoying especially want squeeze quick review dont want type username password every time use app 5 stars,boosters,special
