Unnamed: 0,reviewId,userName,userImage,content,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,matched_feature
27253,2a08bb44-bdff-4af9-8503-0c60df96a951,deepak,https://play-lh.googleusercontent.com/a-/ACB-R5S9lkcFNWohvJxHYd-lh-zSXOy6JP6SIMW8rNPijA,A nice app First I downloaded it to write programs and then I even started learning from it. Challenges and amazing But too many ads,4,0,3.4.2,2020-07-02 02:37:19,,,NEGATIVE,Challenges
29477,743ecbf4-21b3-4572-8502-6e04d1110459,Timothy Adeleke,https://play-lh.googleusercontent.com/a-/ACB-R5SUp2m3yrvhIj282dtLFoqiXqHcaeGn9RKD_87w9A,"SoloLearn is the best place to start your coding journey. You don't have to worry about ads popping out every where and premium is not forces on you. It has nice user interface and it's easy to use. All the courses are free and can be accessed offline once opened, certificate is issued after course completion. Challenges are available for you to practice what you've learnt. I can't describe all my experience in this tiny box. I highly recommend this great learning tool.",5,126,3.3,2020-05-22 18:49:16,,,POSITIVE,Challenges
30880,fd3cd919-b990-42e3-8f46-347cc38ba53a,Moreira Peres,https://play-lh.googleusercontent.com/a/AGNmyxbCsWiwaWw9Dy78wINjM2oXwEzPFjYet3R_Ps8w=mo,"Brilliant, what an amazing way to learn. Great flow, excellent examples, informative and well structured courses. Challenges are difficult on a mobile phone, and often contain questions not based on course material, so rather gain some experience in application of the course material before attempting the challenges. Overall the best multi platform for learning I've discovered.",4,30,3.2.4,2020-04-30 02:47:32,,,POSITIVE,Challenges
32321,5490c35c-fc31-4884-9958-b4767f7ef291,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,This app is really useful to learn programming with a practicing environment... Really good with challenges etc... But only if I could get to know the correct answers in those Challenges... There isnt any option to see the correct option after you select the wrong one. Please see to that :),4,1,3.2.3,2020-04-09 01:38:43,,,POSITIVE,Challenges
32552,6f100c73-bee3-4f18-9828-824bb4b1ca1c,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sololearn is amazing. The way everything is explained is really great. Keeping it really simple for the beginners to learn. Code Playground and Challenges provide a great way to practice coding.,5,0,3.1.1,2020-04-05 07:30:57,,,POSITIVE,Challenges
32830,9c004d79-abe1-46f0-8ddf-b6bb152ded86,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Great app. The layout and features are not just good for learning but it also lets you try what you have learnt out which is a big deal for beginner level programmers. I strongly recommend to everyone. Challenges between users make it more fun and there is forum to ask your questions. This app has everything you need to succeed.,5,0,3.1.1,2020-04-01 04:45:56,,,POSITIVE,Challenges
36533,7a6f4657-49e9-47d4-8cd0-6aec1f457f5e,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Since starting SoloLearn, I have lost 20 lbs., gained a wife and 3 kids, won the lottery 4 times in one year, and succeeded at everything life has thrown at me! /s Seriously, though. For someone just starting out coding, this app is great. Challenges, coaching, courses.. this app has everything I need to get started.",5,0,3.1,2020-01-12 13:43:01,,,POSITIVE,Challenges
37470,b499cb66-cc04-486f-a3b2-cf0f739be567,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Fun short concise exercises that get you into the basics. I find the comments section to be of utmost value. Challenges keep you practicing and learning. Overall great app. Solidly worth downloading if you want to learn programming,5,11,3.1,2019-12-23 14:41:03,,,POSITIVE,Challenges
37876,ec08213c-ea72-4556-88a9-58bbf3670452,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,I am loving this app....it is really good for those who are beginners and also for those who are revising the concepts.Challenges boost your confidence and much more to learn.,5,0,3.0.3,2019-12-16 01:58:55,,,POSITIVE,Challenges
38175,a092ccb2-a7e5-4e1b-afad-57b788c77287,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Good. but Challenges should have right algorithm,4,0,3.0.3,2019-12-09 10:23:47,,,POSITIVE,Challenges
42091,83daebd5-31c5-4d10-a4f0-4c3ffc4b4eea,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"I didn't like that advanced code was introduced in beginner lessons, even with the explainations that it would be taught later. Challenges were WAY over my head and too much for someone who had only finished a few lessons. Other user's should only be able to challenge someone at their own level. Uninstalled.",3,0,,2019-09-25 21:59:14,,,NEGATIVE,Challenges
42302,8ddad45e-602c-4ff3-a4d8-06069373965d,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Easy tutorials. Q&A Forum is really active. People in Solo Learn just love to share their knowledge and it's awesome. Tasks and Challenges are really helpful in improving our skill towards any Language.,5,1,2.6.4,2019-09-22 09:18:57,,,POSITIVE,Challenges
43744,6c555bfa-4ebb-4da6-a991-bd7a3b98ecc3,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Well structured learning with loads of features and community. Challenges adds up to your experience and motivation also. Didn't like sound-on ads, which pops up suddenly.",5,0,2.5.5,2019-09-04 02:59:59,,,POSITIVE,Challenges
44775,191db0d5-4bc6-42a2-a0ad-b175754c04a3,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Very interesting way to learn a programming language. Question answer seasions will help you to remember concepts. Challenges will hep u to test your skills and to know where you stand,5,0,2.5.5,2019-08-21 01:42:24,,,POSITIVE,Challenges
46946,fa193ed7-da60-43ab-b6a9-5ce898b43ba2,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Easy to understand Much learning effort from the exercises Would be nice if there are short explanations in Challenges,4,0,2.5.5,2019-07-23 08:23:33,,,POSITIVE,Challenges
47679,56530113-206f-46d8-8c41-8f7d06683b66,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"An amazing app ! Challenges, brain teasers, development essential algos and Q/A all in one app.There shouldn't be an ounce of doubt if you want to learn any programming language.I learnt Java, Html, C++ and am currently learning Python. Its bite sized modules are easy to understand and catch up with.But the best is the coding playground ! Long story short, just install it.All you need is an email to register and the rest is free. Even without the premium feature, it's awesome.",5,0,,2019-07-15 02:16:19,,,POSITIVE,Challenges
49552,a5a08c30-9324-47e2-aebc-e46b0de8667f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Super awesome app that teaches you concrete skills that you can use to expand your skillset through baby steps. Interactive ""Challenges"" help you hone in and practice what you know in a fun and engaging environment too. This is the future of online education platforms!",5,1,2.5.5,2019-06-17 16:52:30,,,POSITIVE,Challenges
51345,cc5fa25d-6d41-4bfc-82a3-0cc6b790f1a0,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Thr only bad thing about this app is that I didn't find it earlier! I am an experienced programmer and yet this app helps a lot. Challenges are fun and the tasks are interesting too with relevance to trending topics. Great app, totally recommend it 😃",5,0,2.5.5,2019-05-20 09:57:00,,,POSITIVE,Challenges
52448,4f855fc6-7ade-4c9e-8ff3-8cdfb1508c18,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Best used as a supplement to a main source of learning imo. Challenges against other users are fun. Your code can be private or public. The community in general is friendly.,5,0,2.5.4,2019-05-04 19:45:05,,,POSITIVE,Challenges
55566,ed631127-5ad8-4a5c-bb0a-a606bc043307,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Course contents are quite simple and limited. But it is a good idea to make coding like a game: earning points, competing with others. Challenges are a good idea as well, however, I think challenges are not designed good. There is a time limit but we can't see how much time we have! Codes are difficult to read without colors and we encounter questions from courses that we didn't yet cover. I like tricky questions, but not when time is too short. (And I have just seen an almost pornographic ad!)",3,11,2.5.3,2019-03-29 12:59:04,,,NEGATIVE,Challenges
61907,272de68a-b438-4ef7-b1a8-a8b474e85fdb,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Awesome! Good for beginners as well as experts. Great community. Challenges are fun with learning. Very useful application,5,0,2.4.8,2018-12-30 19:16:59,,,POSITIVE,Challenges
63816,9d5a475f-759c-405d-b6d2-7f23fe23952d,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Most useful app for learner's. Courses are too good. Here Pro programmers can write a program to show their skills to the world. Challenges improves our interest in study.,5,0,2.4.8,2018-11-29 21:45:22,,,POSITIVE,Challenges
66233,0eb8cd83-38fa-4957-b14e-33fc23e3d0b0,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Would have 5 starred if Challenges contained explanations and you could privatw message other users.,4,0,2.3.1,2018-10-22 19:49:41,,,NEGATIVE,Challenges
66305,df280f6a-5051-4c8e-ad30-571e8fd6821c,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Challenges make a man perfect very useful app for me,5,0,2.3.1,2018-10-21 14:04:35,,,POSITIVE,Challenges
67366,a32b96fb-e32e-4d52-b2f0-c8a2dc5dea53,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Well, I am a student of 8 grade, and I just wanted to learn about the world of programming and after a lot of research, I found this app which is like a discovery of a treasure for me now I have got everything I was looking for: 1. Programming languages to learn with a methodical explanation of each topic. 2. A mobile code editor 3. A community to get help and help too. 4. Challenges to put our brains onto. 5. Challengers to test our on-field performance. IN SHORT, *I LOVE SOLOLEARN*",5,84,2.3.1,2018-10-07 08:12:59,,,POSITIVE,Challenges
68436,17c74161-44f4-4287-9c38-a063c53b8c3c,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Best learning app for beginners.if you are confused how to start coding journey this is the place.Challenges are the fun part of this app.Loving the experience.Thankyou solo learn.,5,0,2.3.1,2018-09-24 00:36:14,,,POSITIVE,Challenges
71448,6a995b12-6137-4653-a60a-c89d2f3c2344,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Best tutorial site/app I have ever seen. I like 3 things in this one, 1. 
Tutorial content 2. Certificate 3. Challenges. Superb app, keep adding more 
stuff.",5,0,2.2.4,2018-08-14 23:28:36,,,POSITIVE,Challenges
71978,7149f19b-a9ea-4b73-97d3-b57558d05bc0,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"A great & good application to learn . Challenges are very attractive & 
guide us .",5,0,2.2.4,2018-08-08 05:23:46,,,POSITIVE,Challenges
72181,fd2b5fb2-337f-41cb-b084-dbe51a0b613b,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"I've been really enjoying this app. Does a good job introducing you to the 
code, quizzing you as you go, then the testing gets more hands on in the 
Challenges. When looking at the examples, you can easily switch between the 
HTML, CSS, Javascript, and the Output to see how it all looks. I'm only in 
the HTML portion right now. Can't wait to learn Javascript and PHP!",5,10,2.2.4,2018-08-05 15:42:24,,,POSITIVE,Challenges
79747,5a7caa5d-dc3c-4ef2-bf7c-8d2b1aa85c83,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Challenges are great way to learn,5,0,2.1,2018-05-09 14:57:05,,,POSITIVE,Challenges
81757,b5341d4b-d62e-4fd7-aad8-b9a32691154c,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Its a good app which makes learning so simple .Challenges makes us more 
interesting which helps us to solve a problem in specified time.Please add 
R language also",4,0,2.0.3,2018-04-16 22:19:05,,,POSITIVE,Challenges
87004,e157fe10-c225-4331-b5da-24a299b98800,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Great Python 3 tutorial. Challenges are a fun way put your knowledge to the test.,5,0,2.0.1,2018-02-19 19:09:38,,,POSITIVE,Challenges
87884,ca655be9-0805-4cb9-8eb1-d0486069e78a,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Challenges are a little too easy if you're paying attention, but overall, a good program to learn the very basics.",4,0,2.0.1,2018-02-11 08:54:07,,,POSITIVE,Challenges
89892,f9136a18-c7cd-4c1c-b12b-3ca0ff841e84,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Best & Very Useful app for Learning with Challenges.,5,0,2.0.1,2018-01-24 01:14:18,,,POSITIVE,Challenges
91575,829790c7-c0a3-4ccb-ab41-27532ccad363,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Easy to use. Execute code (run simple) Learn basic parts of programming language, web development. Improve the quality of programming. Challenges make you perfect programmer. All about programming languages. Install if you learn all about programming.  You became perfect programmer. Specially web development. I like this app very much. 👌👌👌",5,1,2.0.1,2018-01-11 03:47:39,,,POSITIVE,Challenges
91848,37514d19-e86a-4d89-bb4c-50dec43f0fdd,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Just amazing.This is one of the best (maybe the best until now) apps I ever used. Lessons, Code Playground,Challenges,Community are just a few of all good stuff it has. Keep doing that Great SoloLearn team. :-)",5,1,2.0.1,2018-01-09 00:15:39,,,POSITIVE,Challenges
92836,0e747229-30d1-49ce-a6eb-b18c32fef31c,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Challenges should be more difficult,5,0,2.0.1,2018-01-01 00:39:31,,,NEGATIVE,Challenges
93053,cbb0bd41-05b1-4773-85ae-13ae0868b95e,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Motivating, with lessons small enough to process and miniquizzes to keep you engaged.  Challenges are fun, too!",5,0,2.0.1,2017-12-29 12:34:17,,,POSITIVE,Challenges
97032,987729af-29e8-4488-bd3e-3e43f0411f08,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Best and most well analysed programming lesson provider I have met so far. Keep it up...ooooo..h and the Challenges I love them,5,0,1.6.1,2017-11-16 05:34:06,,,POSITIVE,Challenges
100575,25f3b608-3cee-4a18-952d-2b61736cd31b,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Amazing app to learn coding! ..So far, only a couple of things to improve: 1-Progress bar on top (&gt;?) should have a color to indicate the sildes you have gone thru. 2-SQL playground?",4,0,1.5.2,2017-10-11 01:00:15,,,POSITIVE,Progress bar
104761,a80ce009-6cc0-4140-aa07-9912b8455e4a,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Awsome app.... Once you're in you never go out.  Excellent stuff inside. Best app to learn 100% basics. Challenges makes the app at high level😊😍,4,0,1.5.1,2017-09-01 08:24:40,,,POSITIVE,Challenges
104789,f741ed59-38db-45e7-9139-9b3234251642,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Challenges are garbage, except if you like to anwer slightly changed question 20 times in a row. Basically there are no moderation, so you will end up answering questions like: eval(""!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!false"") equals to true or false? And there are no way to flag any question for support to check or exclude.  There were questions I wanted to investigate further, but app does best for you not to - after time is out it automatically switches to next question, you cannot save it or pause challenge and it won't ask you if you are ready for next question nor give you opportunity to answer question just to check if you had right answer in mind. It does everything to make you don't care.  Also button to send answer is placed behind android keyboard, so if it hides accidentally you will end up with partial answer which is wrong.",3,7,1.5.1,2017-09-01 04:57:22,,,NEGATIVE,Challenges
106173,4c3aaf47-dc84-4b6b-92ed-573266896058,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Awesome learning app. Challenges help you learn and compete. It keeps you engaged. Learn with fun.,5,0,1.4.5,2017-08-20 10:48:57,,,POSITIVE,Challenges
106412,1040ef91-bf03-4aa3-9f3f-766b0a7883a0,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Very useful and very easy to handle. Really enjoyable. The questions after each topics are really helping. Challenges are also very helping to improve .  Thank you very much solo learn.,5,0,1.4.5,2017-08-18 11:59:19,,,POSITIVE,Challenges
107498,af0c4e84-1c98-43bf-8e45-0669ea26d4ce,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,It's AWESOME! P.S: it would be Great if it had some review section or Challenges after each lesson so the stuff we learned could stick to our brain!,5,4,1.4.5,2017-08-09 14:20:02,,,POSITIVE,Challenges
110093,13dc2b57-4ac7-4b8f-ba14-8e749bad6255,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Great app for beginners wanting to learn coding. Very interacting and enjoyable experience. Need to fix matchmaking challenges though. Challenges should be based on topics that I've already gone through, not all the subject.   For example in Html, I've already finished the Html introduction and HTML basics but didn't complete the ""HTML 5"" subsection. It is not fair that i get questions base on the whole course in challenges. I lost so much xp on questions based on chapters that i haven't covered yet.   Fix this for every beginners please. Because it causes much frustration",5,0,1.4.4,2017-07-19 12:07:49,,,POSITIVE,Challenges
114936,5736b88b-9636-437e-be2f-b34c80079a8f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Really a great app for learning basics Challenges turns yourslef in to error less programmer The community members help solve your doubts And really exciting for code lovers!!😉,5,0,1.3.3,2017-05-26 02:42:37,,,POSITIVE,Challenges
116017,1766125d-30d6-42b0-8744-874efccc1233,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Easy to learn Best interface Challenges,5,0,1.3.3,2017-05-15 12:10:59,,,POSITIVE,Challenges
