Unnamed: 0,date,content,rating,isEdited,title,userName,sentiment,matched_stem
70,2020-03-27 00:04:23,Loving Codecademy pro; thank you Codecademy team for providing free access scholarships to students! This is making my social distancing fun and productive. I’ve wanted to try out the data science path for a while... it’s an amazing learning tool!!!,5,False,Happy to be on board,mraybot,POSITIVE,social
71,2019-10-09 01:33:58,"I’ve had to force close this app and restart it at least a half dozen times in the two days I’ve been using it. Very buggy. The content in the python module is good so far, but the app itself makes the content useless because it won’t refresh, update progress, or even add a course when you select “start this course.”",2,False,Ironically Buggy for an App that Teaches Coding,ncpck,NEGATIVE,progress
72,2021-10-22 14:03:01,"Very disappointed that the contents curation is quite different from website. I wish to access web codecademy contents - my career path lessons and exercises through mobile, but the mobile version is completely different. Maybe good for binge learners, but useless for aspiring coders who mostly work with desktop (laptop) web applications.",1,False,Does not sync with website,Kjl9999,NEGATIVE,point
76,2023-01-26 19:03:49,I’m in the process of switching careers from HVAC to Coding. And I’m sometimes really exhausted after work. So on my lunch breaks I’ve been studying and practicing Codecademy. Awesome to have this hand held tool!,5,False,Great practice on the go!,Andrew420.,POSITIVE,break
83,2022-04-16 08:21:34,I’ve been using this app to learn Python. Very impressive and easy to learn and use app. Highly recommended. Would say try this before its competitors.,5,False,Impressive app,Dan@20,POSITIVE,competit
86,2019-04-26 15:22:32,If you really want to get the most use for your money I recommend this app!! Instead of scrolling through social media I’m learning this is a grea thing,5,False,On the go learning,LilBoSkeet,POSITIVE,social
112,2019-02-19 16:15:21,I use the Codecademy app while on the go to help me stay current in my coding boot camp. This has been the best resource to break things down and truly understand.,5,False,Amazing,The Beauty Codess,POSITIVE,break
121,2018-10-19 05:36:52,"I just downloaded your app in order to continue my JavaScript training while mobile but I can’t get past the login screen. When I launch the app, it gets to the login screen and the circular progress loops endless not allowing me to login. Never times out. The last bullet on your “Fixed” list is NOT fixed.",1,False,Stuck on login screen,BrownBear324,NEGATIVE,progress
122,2020-12-12 04:33:48,"I'm really enjoying learning Python with codecademy. The mix of lectures, hands on and coding challenges are great. I also like using the phone app to practice concepts.",5,False,Phone app is a great way to practice,davejet7,POSITIVE,challeng
139,2021-08-26 08:10:38,"I signed up to codeacademy with my LinkedIn account. However, there is no option to sign into it on the phone app and I cannot access my progress or work on my development.",2,False,Can’t login with LinkedIn account on the app,MyTurnBecauseMyNameIsMia,NEGATIVE,progress
159,2019-06-04 05:55:06,Wanted to use the app but I couldn’t sign up. I don’t use Facebook or have an google account so I guess I’ll have to stick to using the website. So disappointing. Everyone doesn’t use Facebook or google. I should be able to just use my email that I have in order to use the app. Oh well.,1,False,No account,LuxeRose,NEGATIVE,point
204,2022-05-04 22:00:08,I was so excited to see there was an app available…and then so disappointed that the questions were basically unanswerable. I’ll use CodeAcademy on my PC but I’m bummed I can’t use the app.,1,False,Doesn’t work well on my iPad,Kendrastic,NEGATIVE,point
223,2021-10-15 22:43:29,In case you do not feel compelled to sign up using your social media account letting you know now before install this app is not for you.,1,False,Sign up attached to google or facebook,mynameisanymouse,NEGATIVE,social
225,2023-03-15 19:59:29,The app is very buggy.  The practice exams do not progress to next page after making all selections.  The Reviewed subjects do not match the practice exam questions.  Very disappointing.,1,False,Buggy and unusable on iPad,lapp-boi,NEGATIVE,"progress, point"
233,2021-03-30 17:25:59,"No iPad support is a deal breaker for me. If the other reviews are to be believed, this is a great app otherwise. If you’re fine with using your phone, go for it.",2,False,No iPad Support,KniveSmith,NEGATIVE,break
297,2020-02-01 09:25:07,"Looking for ""iPad Only"" app gets you am iphone app that can be stretched to fill screen. Pretty disappointing and not confidence-instilling.",2,False,"iPad App? Nope, not really.",0x45,NEGATIVE,point
378,2022-10-13 22:41:40,When entering in the suggested code I don’t see anything displayed. At this point I’m just guessing at the answers. Kinda sad I spent money on this.,1,False,Meh,tankz1776,NEGATIVE,point
379,2022-09-22 22:11:06,"What is the point in having an app, if I cannot work on any of courses that I am currently working on (on my laptop) while on my phone (in the app)? I logged into the app on my phone, and Code Foundations (Pro Skill Path), nor any of the other courses I am currently working on, are available to me. I cannot even search for them (nothing comes up when I do.) I paid to access the pro courses on the website, and none of the pro courses I am actively working on are accessible in the app. Very disappointing.",1,False,Abysmal App,Paigelina_,NEGATIVE,point
380,2022-08-03 02:39:48,It’s a great on the go solution for learning to code with bite sexed challenges,5,False,Just what I was looking for,Mr..Dessert,POSITIVE,challeng
383,2022-04-12 01:03:43,"The platform is fantastic, the built in code editor takes the hassle out of setting up your dev environment in VScode/IDE while you’re just getting into programming. Their customer service is amazing as well. Any time I’ve had an issue they reply quickly and straight to the point. I started using Codecademy to prepare for a software development boot camp and I have to say, I was over prepared thanks to Codecademy. Their catalogue contains a WEALTH of knowledge, regardless of what discipline of software development you’re in. I recommend Codecademy to every person I meet who’s interested in programming or wants to brush up on their skills in the latest tech.
(p.s. The Pro membership is 100% worth it)",5,False,"Great platform, Great company",Shwag777,POSITIVE,point
387,2022-03-27 04:41:10,"I joined the pro membership not too long ago and am disappointed with this app. I thought I could learn without prior coding knowledge but the app doesn’t teach, it just provides flash cards. It’s not useful to me as I have no background in the field. Since this holds no value and the app did not provide with it promised, I’m requesting a full refund please.",1,False,"Does not teach code, just provides tips in flash card format",pinkpoodle666,NEGATIVE,point
399,2021-08-21 02:05:04,"The app is pretty. Fluid animation.  nice…. The review material ok. Practice trash. Alot of the questions simply have bugs that make it impossible to input the right answer. They have community questions thrown in that are just plan wrong, and you cant remove them either in the settings. I have only tried the html course but i am so very disappointed. I will not even try the others. Plus it hasn’t been updated in 9 months. It seems like the developers has just given up on this app therefore it is not worth putting any money into. Please if you are a beginner, look elsewhere and don’t let this app confuse you. Maybe the desktop website is better because i heard good things about how it is comparable to free code camp. Anyway please don’t waste a second on the app though.",1,False,Bugs and QuestionsMistakes in Practice,Hmm...Interesting...,NEGATIVE,point
428,2020-05-04 13:38:11,I used to be able to code back in my MySpace days 😉 but this just shows me how little I know about the behind the scenes in coding. I just started and I’m so excited to dive in. The app makes it super easy and I’m thrilled I get the chance to take this challenge on.,5,False,Awesome,Becster14,POSITIVE,challeng
432,2020-05-01 02:08:25,"This app is still great for learning. I’ve just had issues picking up where I left off on my computer. The format of the app and its content aren’t the same as he website so it’s somewhat confusing.The version of code academy you use on your computer is also better organized so you understand how far you are progressing through the lesson and you are limited on the phone to a certain extent because you can’t type as naturally as you would on a keyboard. It still is made very well though and I’m saying all these things constructively, Codecademy is the bomb ! I love what you guys are doing for people ! 🥳😁👍🥇",4,False,Wonderful app when in a pinch,Kain.3,NEGATIVE,progress
440,2019-09-26 02:58:47,"It was hard for me to learn/practice syntax when I don’t have access to my computer. When I heard about this feature, I was interested in trying it out. It turns out the interface here is really cool and helpful. The daily review is a great, quick refresher, and the fill-in-the-blanks practice is mobile-friendly and clever. This is a great supplement, but of course, it won’t replace you typing code on your computer. I use this app virtually every day.",5,False,More helpful than I anticipated,SomewhatScienceGuy,POSITIVE,virtual
443,2019-10-23 01:11:56,"I’ve used several different coding applications and the setup of this one is the most strange to me. Why does the content in the lessons keep changing when you leave and come back? Why does the resume button at the top of the page not actually resume your progress in the course but take you to a testing ground? Why don’t they begin the programming languages at the beginning with the fundamentals? I kept feeling like i was missing out on content because i knew the lesson material changes and i was introduced to several new concepts (which is actually great because I’m still learning) but wasn’t taught to the point where i would be able to duplicate the results of the teacher, give a comprehensive understanding of what i was being shown, or felt like i could actually explain what i had learned. Why not have all the material you want to include in the lessons already there so you don’t have people swipe through five slides and then come back realizing there’s entirely new content? If i learn a new language i want to learn it well. 
I’m not an advanced programmer yet so there’s a lot of things i still don’t know, and the lessons introduced a page of code, and proceeded to explain one element. I need to know all the details in the beginning, like what this term means, and what this does, and five slides later I didn’t feel like i was ready to be tested on anything because i missed so much of what was going on.",1,False,Confusing layout,Thechoedenkal,NEGATIVE,"progress, point"
445,2019-10-02 16:12:19,Just signed up for the pro and figured I could use the app to learn. Could not even get passed the notification part when trying to resume. I hit continue and just get a white screen. Kinda disappointing that a learning to code app don’t work.... wonder what that says about the organization.,1,False,Not working,Zim sim,NEGATIVE,point
447,2019-09-12 23:09:49,It’s definitely a challenge for a beginner with zero experience but I enjoyed learning concepts and testing them out. All while repeating the problems until you get it right. I look forward to learning more so it can all slow down and become more clear in translation and structure. 5 stars for this app and program!,5,False,Code academy app,wowzers1111,POSITIVE,challeng
457,2019-04-08 03:36:54,"Very useful app. 4 stars because on phone, we want to be able to hold our phone horizontal instead of vertical so the code and run longer without so many line breaks. 

The icon shown when it’s time to practice shows someone holding their phone sideways and yet we can only hold our phone vertically. 

Fixing this would make it 5 stars",4,False,Vertical is distracting,L boog the 3rd,POSITIVE,break
458,2019-03-10 21:06:18,<p>It is somewhat disappointing because it doesn’t let you write the code just study and answer questions. I could see it would be hard to type it all but it would be nice if they put that in. Like you could go into setting and change the keyboard for just Codecademy and put in like the <> easier to get to or something.<p>,4,False,Doesn’t have the typing of the code just studying!,lil' Lucas,NEGATIVE,point
