,app,feature,positiveCount,negativeCount,score
0,sololearn,progress bar,0,0,0
0,sololearn,strike habit/competition,1,0,1.0
0,sololearn,social discovery,1,-1,0.0
0,sololearn,challenges,31,-9,0.55
0,sololearn,leaderboard/competition,1,0,1.0
0,sololearn,boosters,20,-1,0.9047619047619048
0,sololearn,virtual economy,0,0,0
0,sololearn,torture breaks,6,-3,0.3333333333333333
0,sololearn,visual grave,0,0,0
0,sololearn,high five,0,0,0
0,sololearn,last mile drive,0,0,0
0,sololearn,anticipation parade,0,0,0
0,sololearn,avatar,0,0,0
0,sololearn,win states,0,0,0
0,sololearn,voting,1,0,1.0
0,sololearn,crowning,1,0,1.0
0,sololearn,status quo sloth,10,-5,0.3333333333333333
