"Modulo modulo_1, Leccion 1",
Pedagogical Page Open Time,17:30:04
Pedagogical Page Close Time,17:30:04
Parte 3,17:30:04
Draganddrop Page Open Time,17:30:04
Correct Answer Selected: print(42 * 3),17:30:07
Draganddrop Page Close Time,17:30:09
Pedagogical Page Open Time,17:30:09
Pedagogical Page Close Time,17:30:10
Parte 4,17:30:10
Multiplechoice Page Open Time,17:30:10
Correct Answer Selected: 4.0,17:30:12
Multiplechoice Page Close Time,17:30:13
Pedagogical Page Open Time,17:30:13
Pedagogical Page Close Time,17:30:13
Parte 5,17:30:13
Draganddrop Page Open Time,17:30:13
Correct Answer Selected: Entero:2,17:30:18
Correct Answer Selected: Flotante:3.14,17:30:18
Draganddrop Page Close Time,17:30:19
Pedagogical Page Open Time,17:30:19
Pedagogical Page Close Time,17:30:20
Parte 6,17:30:20
Pedagogical Page Open Time,17:30:20
Pedagogical Page Close Time,17:30:21
Pedagogical2 Page Open Time,17:30:21
Pedagogical2 Page Close Time,17:30:23
Parte 7,17:30:23
Pedagogical Page Open Time,17:30:23
Pedagogical Page Close Time,17:30:23

"Modulo modulo_1, Leccion Leccion3",
Parte 1,18:33:05
Pedagogical Page Open Time,18:33:05
Pedagogical Page Close Time,18:33:07
Pedagogical2 Page Open Time,18:33:07
Pedagogical2 Page Close Time,18:33:08
Parte 2,18:33:08
Multiplechoice Page Open Time,18:33:08
Checkbox Selected: 'Viernes',18:35:45
Checkbox Selected: 'Viernes',18:35:55
Checkbox Selected: 'The Lord of the Rings',18:35:55
Multiplechoice Page Close Time,18:35:57
Pedagogical Page Open Time,18:35:57
Pedagogical Page Close Time,18:35:58
Parte 3,18:35:58
Draganddrop Page Open Time,18:35:58
Correct Drop Event: Water,18:36:14
Correct Drop Event: +,18:36:14
Correct Drop Event: Park,18:36:14
Draganddrop Page Close Time,18:36:16
Pedagogical Page Open Time,18:36:16
Pedagogical Page Close Time,18:36:16
Parte 4,18:36:16
Multiplechoice Page Open Time,18:36:16
Checkbox Selected: '100',18:36:21
Checkbox Selected: 'Manzana',18:36:21
Multiplechoice Page Close Time,18:36:23
Draganddrop Page Open Time,18:36:23
Correct Answer Selected: 100,18:36:30
Correct Answer Selected: 100.00,18:36:30
Correct Answer Selected: 'cien',18:36:30
Draganddrop Page Close Time,18:36:32
Parte 5,18:36:32
Pedagogical Page Open Time,18:36:32
Pedagogical Page Close Time,18:36:33
Pedagogical2 Page Open Time,18:36:33
Pedagogical2 Page Close Time,18:36:34
Parte 6,18:36:34
Pedagogical Page Open Time,18:36:34
Pedagogical Page Close Time,18:36:38

"Modulo modulo_1, Leccion Leccion5",
Parte 1,18:48:07
Pedagogical2 Page Open Time,18:48:07
Pedagogical2 Page Close Time,18:48:08
Parte 2,18:48:08
Pedagogical Page Open Time,18:48:08
Pedagogical Page Close Time,18:48:09
Pedagogical2 Page Open Time,18:48:09
Pedagogical2 Page Close Time,18:48:10
Parte 3,18:48:10
Multiplechoice Page Open Time,18:48:10
Checkbox Selected: valor.,18:48:23
Multiplechoice Page Close Time,18:48:25
Draganddrop Page Open Time,18:48:25
Correct Drop Event: edad,18:48:39
Correct Drop Event: 18,18:48:39
Draganddrop Page Close Time,18:48:41
Parte 4,18:48:41
Pedagogical Page Open Time,18:48:41
Pedagogical Page Close Time,18:48:42
Completeblankspace Page Open Time,18:48:42
Correct Answer Selected: 2028,18:48:51
Completeblankspace Page Close Time,18:48:52
Parte 5,18:48:52
Pedagogical Page Open Time,18:48:52
Pedagogical Page Close Time,18:48:53
Multiplechoice Page Open Time,18:48:53
Checkbox Selected: 24,18:48:59
Multiplechoice Page Close Time,18:49:00
Parte 6,18:49:00
Multiplechoice Page Open Time,18:49:00
Checkbox Selected: 12,18:49:05
Multiplechoice Page Close Time,18:49:07
Pedagogical Page Open Time,18:49:07
Pedagogical Page Close Time,18:49:08
Parte 7,18:49:08
Multiplechoice Page Open Time,18:49:08
Checkbox Selected: un_nombre_variable,18:49:13
Multiplechoice Page Close Time,18:49:15
Pedagogical Page Open Time,18:49:15
Pedagogical Page Close Time,18:49:16
Parte 8,18:49:16
Multiplechoice Page Open Time,18:49:16
Checkbox Selected: Balance: € 200,18:49:27
Multiplechoice Page Close Time,18:49:29
Pedagogical Page Open Time,18:49:29
Pedagogical Page Close Time,18:49:30
Parte 9,18:49:30
Pedagogical Page Open Time,18:49:30
Pedagogical Page Close Time,18:49:30
Pedagogical2 Page Open Time,18:49:30
Pedagogical2 Page Close Time,18:50:02

"Modulo modulo_1, Leccion Leccion5",
Parte 1,18:54:53
Pedagogical2 Page Open Time,18:54:53
Pedagogical2 Page Close Time,18:54:54
Parte 2,18:54:55
Pedagogical Page Open Time,18:54:55
Pedagogical Page Close Time,18:54:55
Pedagogical2 Page Open Time,18:54:55
Pedagogical2 Page Close Time,18:54:55
Parte 3,18:54:55
Multiplechoice Page Open Time,18:54:55
Parte 2,18:54:55
Parte 3,18:54:55
Checkbox Selected: valor.,18:54:58
Multiplechoice Page Close Time,18:55:00
Draganddrop Page Open Time,18:55:00
Correct Drop Event: edad,18:55:03
Correct Drop Event: 18,18:55:03
Draganddrop Page Close Time,18:55:05
Parte 4,18:55:05
Pedagogical Page Open Time,18:55:05
Pedagogical Page Close Time,18:55:06
Completeblankspace Page Open Time,18:55:06
Correct Answer Selected: 2028,18:55:08
Completeblankspace Page Close Time,18:55:10
Parte 5,18:55:10
Pedagogical Page Open Time,18:55:10
Pedagogical Page Close Time,18:55:10
Multiplechoice Page Open Time,18:55:10
Checkbox Selected: 24,18:55:14
Multiplechoice Page Close Time,18:55:16
Parte 6,18:55:16
Multiplechoice Page Open Time,18:55:16
Checkbox Selected: 12,18:55:19
Multiplechoice Page Close Time,18:55:20
Pedagogical Page Open Time,18:55:20
Pedagogical Page Close Time,18:55:21
Parte 7,18:55:21
Multiplechoice Page Open Time,18:55:21
Checkbox Selected: un_nombre_variable,18:55:24
Multiplechoice Page Close Time,18:55:25
Pedagogical Page Open Time,18:55:25
Pedagogical Page Close Time,18:55:26
Parte 8,18:55:26
Multiplechoice Page Open Time,18:55:26
Checkbox Selected: Balance: € 200,18:55:29
Multiplechoice Page Close Time,18:55:30
Pedagogical Page Open Time,18:55:30
Pedagogical Page Close Time,18:55:31
Parte 9,18:55:31
Pedagogical Page Open Time,18:55:31
Pedagogical Page Close Time,18:55:32
Pedagogical2 Page Open Time,18:55:32
Pedagogical2 Page Close Time,18:55:33

"Modulo 1, Leccion 5",
Parte 1,18:57:00
Pedagogical2 Page Open Time,18:57:00
Pedagogical2 Page Close Time,18:57:01
Parte 2,18:57:01
Pedagogical Page Open Time,18:57:01
Pedagogical Page Close Time,18:57:02
Pedagogical2 Page Open Time,18:57:02
Pedagogical2 Page Close Time,18:57:02
Parte 3,18:57:02
Multiplechoice Page Open Time,18:57:02
Multiplechoice Page Close Time,18:57:04
Draganddrop Page Open Time,18:57:04
Checkbox Selected: valor.,18:57:04
Correct Drop Event: edad,18:57:07
Correct Drop Event: 18,18:57:07
Draganddrop Page Close Time,18:57:08
Parte 4,18:57:08
Pedagogical Page Open Time,18:57:08
Pedagogical Page Close Time,18:57:09
Completeblankspace Page Open Time,18:57:09
Correct Answer Selected: 2028,18:57:12
Completeblankspace Page Close Time,18:57:13
Parte 5,18:57:13
Pedagogical Page Open Time,18:57:13
Pedagogical Page Close Time,18:57:14
Multiplechoice Page Open Time,18:57:14
Multiplechoice Page Close Time,18:57:21
Parte 6,18:57:21
Multiplechoice Page Open Time,18:57:21
Checkbox Selected: 24,18:57:21
Checkbox Selected: 12,18:57:28
Multiplechoice Page Close Time,18:57:29
Pedagogical Page Open Time,18:57:29
Pedagogical Page Close Time,18:57:30
Parte 7,18:57:30
Multiplechoice Page Open Time,18:57:30
Checkbox Selected: un_nombre_variable,18:57:32
Multiplechoice Page Close Time,18:57:34
Pedagogical Page Open Time,18:57:34
Pedagogical Page Close Time,18:57:35
Parte 8,18:57:35
Multiplechoice Page Open Time,18:57:35
Checkbox Selected: Balance: € 200,18:57:37
Multiplechoice Page Close Time,18:57:39
Pedagogical Page Open Time,18:57:39
Pedagogical Page Close Time,18:57:39
Parte 9,18:57:39
Pedagogical Page Open Time,18:57:39
Pedagogical Page Close Time,18:57:41
Pedagogical2 Page Open Time,18:57:41
Pedagogical2 Page Close Time,18:57:53

