"Módulo 1, Leccion 1",
Parte 5,15:20:15
Pedagogical Page Open Time,15:20:15
Pedagogical Page Close Time,15:20:15
Pedagogical2 Page Open Time,15:20:15
Pedagogical2 Page Close Time,15:20:16
Parte 6,15:20:16
Pedagogical Page Open Time,15:20:16
Pedagogical Page Close Time,15:20:16

"Modulo 1, Leccion 4",
Parte 1,15:20:20
Pedagogical Page Open Time,15:20:20
Pedagogical Page Close Time,15:20:21
Draganddrop Page Open Time,15:20:21
Draganddrop Page Close Time,15:20:28
Parte 2,15:20:28
Pedagogical Page Open Time,15:20:28
Correct Answer Selected: Entero,15:20:28
Correct Answer Selected: Flotante,15:20:28
Correct Answer Selected: Cadena,15:20:28
Pedagogical Page Close Time,15:20:29
Draganddrop Page Open Time,15:20:29
Correct Drop Event: print('Nosotros somos los campeones amigos'),15:20:32
Correct Drop Event: print('Y seguiremos luchando hasta el final'),15:20:32
Correct Drop Event: print('Somos los campeones'),15:20:32
Draganddrop Page Close Time,15:20:33
Parte 3,15:20:33
Pedagogical Page Open Time,15:20:33
Pedagogical Page Close Time,15:20:33
Completeblankspace Page Open Time,15:20:33
Completeblankspace Page Close Time,15:20:37
Parte 4,15:20:37
Pedagogical Page Open Time,15:20:37
Pedagogical Page Close Time,15:20:37
Draganddrop Page Open Time,15:20:37
Correct Answer Selected: print,15:20:37
Correct Answer Selected: sep,15:21:43
Correct Answer Selected: '-',15:21:43
Draganddrop Page Close Time,15:21:44
Parte 5,15:21:44
Pedagogical Page Open Time,15:21:44
Pedagogical Page Close Time,15:21:44
Draganddrop Page Open Time,15:21:44
Draganddrop Page Close Time,15:21:47
Parte 6,15:21:47
Pedagogical Page Open Time,15:21:47
Pedagogical Page Close Time,15:21:47
Pedagogical2 Page Open Time,15:21:47
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",15:21:47
Pedagogical2 Page Close Time,15:21:48
Parte 7,15:21:48
Pedagogical Page Open Time,15:21:48
Pedagogical Page Close Time,15:21:48
Pedagogical2 Page Open Time,15:21:48
Pedagogical2 Page Close Time,15:21:48

"Modulo 1, Leccion 5",
Parte 1,15:21:51
Pedagogical2 Page Open Time,15:21:51
Pedagogical2 Page Close Time,15:21:52
Parte 2,15:21:52
Pedagogical Page Open Time,15:21:52
Pedagogical Page Close Time,15:21:55
Pedagogical2 Page Open Time,15:21:55
Pedagogical2 Page Close Time,15:21:56
Parte 3,15:21:56
Multiplechoice Page Open Time,15:21:56
Multiplechoice Page Close Time,15:21:57
Draganddrop Page Open Time,15:21:57
Checkbox Selected: valor.,15:21:57
Draganddrop Page Close Time,15:22:00
Parte 4,15:22:00
Pedagogical Page Open Time,15:22:00
Correct Drop Event: edad,15:22:00
Correct Drop Event: 18,15:22:00
Pedagogical Page Close Time,15:22:01
Completeblankspace Page Open Time,15:22:01
Completeblankspace Page Close Time,15:22:03
Parte 5,15:22:03
Pedagogical Page Open Time,15:22:03
Pedagogical Page Close Time,15:22:03
Multiplechoice Page Open Time,15:22:03
Correct Answer Selected: 2028,15:22:03
Multiplechoice Page Close Time,15:22:06
Parte 6,15:22:06
Multiplechoice Page Open Time,15:22:06
Checkbox Selected: 24,15:22:06
Multiplechoice Page Close Time,15:22:10
Pedagogical Page Open Time,15:22:10
Checkbox Selected: 12,15:22:10
Pedagogical Page Close Time,15:22:11
Parte 7,15:22:11
Multiplechoice Page Open Time,15:22:11
Checkbox Selected: un_nombre_variable,15:22:12
Multiplechoice Page Close Time,15:22:13
Pedagogical Page Open Time,15:22:13
Pedagogical Page Close Time,15:22:13
Parte 8,15:22:13
Multiplechoice Page Open Time,15:22:13
Multiplechoice Page Close Time,15:22:15
Pedagogical Page Open Time,15:22:15
Checkbox Selected: Balance: € 200,15:22:15
Pedagogical Page Close Time,15:22:16
Parte 9,15:22:16
Pedagogical Page Open Time,15:22:16
Pedagogical Page Close Time,15:22:17
Pedagogical2 Page Open Time,15:22:17
Pedagogical2 Page Close Time,15:22:17

"Modulo 2, Leccion 1",
Parte 1,15:22:51
Pedagogical Page Open Time,15:22:51
Pedagogical Page Close Time,15:22:51
Pedagogical2 Page Open Time,15:22:51
Pedagogical2 Page Close Time,15:22:53
Parte 2,15:22:53
Draganddrop Page Open Time,15:22:53
Correct Answer Selected: '42',15:22:56
Correct Answer Selected: text,15:22:56
Draganddrop Page Close Time,15:22:57
Pedagogical Page Open Time,15:22:57
Pedagogical Page Close Time,15:22:57
Parte 3,15:22:57
Multiplechoice Page Open Time,15:22:57
Multiplechoice Page Close Time,15:23:01
Pedagogical Page Open Time,15:23:01
Checkbox Selected: una cadena,15:23:01
Pedagogical Page Close Time,15:23:02
Parte 4,15:23:02
Multiplechoice Page Open Time,15:23:02
Multiplechoice Page Close Time,15:23:05
Pedagogical Page Open Time,15:23:05
Checkbox Selected: input(),15:23:05
Pedagogical Page Close Time,15:23:06
Parte 5,15:23:06
Pedagogical Page Open Time,15:23:06
Pedagogical Page Close Time,15:23:06
Pedagogical2 Page Open Time,15:23:06
Pedagogical2 Page Close Time,15:23:07

"Modulo 2, Leccion 2",
Parte 1,15:23:10
Pedagogical Page Open Time,15:23:10
Pedagogical Page Close Time,15:23:11
Pedagogical2 Page Open Time,15:23:11
Pedagogical2 Page Close Time,15:23:12
Parte 2,15:23:12
Completeblankspace Page Open Time,15:23:12
Correct Answer Selected: 6,15:23:15
Completeblankspace Page Close Time,15:23:16
Pedagogical Page Open Time,15:23:16
Pedagogical Page Close Time,15:23:16
Parte 3,15:23:16
Multiplechoice Page Open Time,15:23:16
Checkbox Selected: 9,15:23:20
Multiplechoice Page Close Time,15:23:21
Pedagogical Page Open Time,15:23:21
Pedagogical Page Close Time,15:23:21
Parte 4,15:23:21
Multiplechoice Page Open Time,15:23:21
Checkbox Selected: '59',15:23:26
Multiplechoice Page Close Time,15:23:27
Pedagogical Page Open Time,15:23:27
Pedagogical Page Close Time,15:23:27
Parte 5,15:23:27
Draganddrop Page Open Time,15:23:27
Incorrect Drop Event: x,15:23:41
Incorrect Drop Event: =,15:23:41
Incorrect Drop Event: int(,15:23:41
Incorrect Drop Event: input()),15:23:41
Incorrect Drop Event: y,15:23:41
Incorrect Drop Event: =,15:23:41
Incorrect Drop Event: int(,15:23:41
Incorrect Drop Event: input()),15:23:41
Incorrect Drop Event: print(,15:23:41
Incorrect Drop Event: x,15:23:41
Incorrect Drop Event: +,15:23:41
Incorrect Drop Event: y,15:23:41
Incorrect Drop Event: x,15:23:41
Incorrect Drop Event: =,15:23:41
Incorrect Drop Event: int(,15:23:41
Incorrect Drop Event: input()),15:23:41
Incorrect Drop Event: y,15:23:41
Incorrect Drop Event: =,15:23:41
Incorrect Drop Event: int(,15:23:41
Incorrect Drop Event: input()),15:23:41
Incorrect Drop Event: print(,15:23:41
Incorrect Drop Event: x,15:23:41
Incorrect Drop Event: +,15:23:41
Incorrect Drop Event: y,15:23:41
Draganddrop Page Close Time,15:23:50
Parte 6,15:23:50
Pedagogical Page Open Time,15:23:50
Correct Drop Event: x,15:23:50
Correct Drop Event: =,15:23:50
Correct Drop Event: int(,15:23:50
Correct Drop Event: input()),15:23:50
Correct Drop Event: y,15:23:50
Correct Drop Event: =,15:23:50
Correct Drop Event: int(,15:23:50
Correct Drop Event: input()),15:23:50
Correct Drop Event: print(,15:23:50
Correct Drop Event: x,15:23:50
Correct Drop Event: +,15:23:50
Correct Drop Event: y,15:23:50
Correct Drop Event: ),15:23:50
Pedagogical Page Close Time,15:23:51
Multiplechoice Page Open Time,15:23:51
Multiplechoice Page Close Time,15:23:57
Checkbox Selected: 11,15:23:57

"Modulo 2, Leccion 3",
Parte 1,15:24:01
Pedagogical Page Open Time,15:24:01
Pedagogical Page Close Time,15:24:03
Completeblankspace Page Open Time,15:24:03
Completeblankspace Page Close Time,15:24:09
Parte 2,15:24:09
Pedagogical Page Open Time,15:24:09
Correct Answer Selected: 12,15:24:09
Pedagogical Page Close Time,15:24:10
Completeblankspace Page Open Time,15:24:10
Completeblankspace Page Close Time,15:24:13
Parte 3,15:24:13
Pedagogical Page Open Time,15:24:13
Pedagogical Page Close Time,15:24:13
Completeblankspace Page Open Time,15:24:13
Correct Answer Selected: 4,15:24:13
Correct Answer Selected: aaa,15:24:15
Completeblankspace Page Close Time,15:24:16
Parte 4,15:24:16
Pedagogical Page Open Time,15:24:16
Pedagogical Page Close Time,15:24:16

"Modulo 2, Leccion 3",
Parte 1,15:34:43
Pedagogical Page Open Time,15:34:43
Pedagogical Page Close Time,15:34:44
Completeblankspace Page Open Time,15:34:44
Correct Answer Selected: 12,15:34:47
Completeblankspace Page Close Time,15:34:48
Parte 2,15:34:48
Pedagogical Page Open Time,15:34:48
Pedagogical Page Close Time,15:34:50
Completeblankspace Page Open Time,15:34:50
Completeblankspace Page Close Time,15:34:51
Parte 3,15:34:51
Pedagogical Page Open Time,15:34:51
Correct Answer Selected: 4,15:34:51
Pedagogical Page Close Time,15:34:52
Completeblankspace Page Open Time,15:34:52
Completeblankspace Page Close Time,15:34:54
Parte 4,15:34:54
Pedagogical Page Open Time,15:34:54
Pedagogical Page Close Time,15:34:54
Correct Answer Selected: aaa,15:34:54

