"Modulo 1, Leccion 1",
Completeblankspace Page Open Time,13:57:04
Completeblankspace Page Close Time,13:57:09
Parte 5,13:57:09
Pedagogical Page Open Time,13:57:09
Correct Answer Selected: 2028,13:57:09
Pedagogical Page Close Time,13:57:11
Multiplechoice Page Open Time,13:57:11
Checkbox Selected: 42,13:57:14
Checkbox Selected: 24,13:57:17
Multiplechoice Page Close Time,13:57:18
Parte 6,13:57:18
Multiplechoice Page Open Time,13:57:18
Checkbox Selected: 12,13:57:27
Multiplechoice Page Close Time,13:57:28
Pedagogical Page Open Time,13:57:28
Pedagogical Page Close Time,13:57:29
Parte 7,13:57:29
Multiplechoice Page Open Time,13:57:29
Multiplechoice Page Close Time,13:57:32
Pedagogical Page Open Time,13:57:32
Checkbox Selected: un_nombre_variable,13:57:32
Pedagogical Page Close Time,13:57:33
Parte 8,13:57:33
Multiplechoice Page Open Time,13:57:33
Checkbox Selected: Balance: 200€,13:57:37
Checkbox Selected: Balance: 200€,13:57:37
Checkbox Selected: Balance: € 200,13:57:38
Multiplechoice Page Close Time,13:57:39
Pedagogical Page Open Time,13:57:39
Pedagogical Page Close Time,13:57:40
Parte 9,13:57:40
Pedagogical Page Open Time,13:57:40
Pedagogical Page Close Time,13:57:41
Pedagogical2 Page Open Time,13:57:41
Pedagogical2 Page Close Time,13:57:42

"Modulo 1, Leccion 5",
Parte 1,13:59:32
Pedagogical2 Page Open Time,13:59:32
Pedagogical2 Page Close Time,13:59:34
Parte 2,13:59:34
Pedagogical Page Open Time,13:59:34
Pedagogical Page Close Time,13:59:34
Pedagogical2 Page Open Time,13:59:34
Pedagogical2 Page Close Time,13:59:34
Parte 3,13:59:34
Multiplechoice Page Open Time,13:59:34
Parte 2,13:59:34
Parte 3,13:59:34
Checkbox Selected: valor.,13:59:36
Multiplechoice Page Close Time,13:59:37
Draganddrop Page Open Time,13:59:37
Draganddrop Page Close Time,13:59:41
Parte 4,13:59:41
Pedagogical Page Open Time,13:59:41
Correct Drop Event: edad,13:59:41
Correct Drop Event: 18,13:59:41
Pedagogical Page Close Time,13:59:43
Completeblankspace Page Open Time,13:59:43
Correct Answer Selected: 2028,13:59:45
Completeblankspace Page Close Time,13:59:46
Parte 5,13:59:46
Pedagogical Page Open Time,13:59:46
Pedagogical Page Close Time,13:59:47
Multiplechoice Page Open Time,13:59:47
Checkbox Selected: 24,13:59:53
Multiplechoice Page Close Time,13:59:54
Parte 6,13:59:54
Multiplechoice Page Open Time,13:59:54
Multiplechoice Page Close Time,13:59:59
Checkbox Selected: 12,13:59:59
Pedagogical Page Open Time,14:00:00
Pedagogical Page Close Time,14:00:00
Parte 7,14:00:00
Multiplechoice Page Open Time,14:00:00
Multiplechoice Page Close Time,14:00:03
Pedagogical Page Open Time,14:00:03
Checkbox Selected: un_nombre_variable,14:00:03
Pedagogical Page Close Time,14:00:04
Parte 8,14:00:04
Multiplechoice Page Open Time,14:00:04
Checkbox Selected: Balance: € 200,14:00:06
Multiplechoice Page Close Time,14:00:07
Pedagogical Page Open Time,14:00:07
Pedagogical Page Close Time,14:00:09
Parte 9,14:00:09
Pedagogical Page Open Time,14:00:09
Pedagogical Page Close Time,14:00:10
Pedagogical2 Page Open Time,14:00:10
Pedagogical2 Page Close Time,14:00:13

"Modulo 1, Leccion 5",
Parte 1,14:05:32
Pedagogical2 Page Open Time,14:05:32
Pedagogical2 Page Close Time,14:05:33
Parte 2,14:05:33
Pedagogical Page Open Time,14:05:33
Pedagogical Page Close Time,14:05:34
Pedagogical2 Page Open Time,14:05:34
Pedagogical2 Page Close Time,14:05:35
Parte 3,14:05:35
Multiplechoice Page Open Time,14:05:35
Checkbox Selected: valor.,14:05:36
Multiplechoice Page Close Time,14:05:37
Draganddrop Page Open Time,14:05:37
Correct Drop Event: edad,14:05:39
Correct Drop Event: 18,14:05:39
Draganddrop Page Close Time,14:05:40
Parte 4,14:05:40
Pedagogical Page Open Time,14:05:40
Pedagogical Page Close Time,14:05:41
Completeblankspace Page Open Time,14:05:41
Correct Answer Selected: 2028,14:05:43
Completeblankspace Page Close Time,14:05:44
Parte 5,14:05:44
Pedagogical Page Open Time,14:05:44
Pedagogical Page Close Time,14:05:45
Multiplechoice Page Open Time,14:05:45
Checkbox Selected: 24,14:05:57
Multiplechoice Page Close Time,14:05:58
Parte 6,14:05:58
Multiplechoice Page Open Time,14:05:58
Multiplechoice Page Close Time,14:06:02
Pedagogical Page Open Time,14:06:02
Checkbox Selected: 12,14:06:02
Pedagogical Page Close Time,14:06:03
Parte 7,14:06:03
Multiplechoice Page Open Time,14:06:03
Multiplechoice Page Close Time,14:06:06
Pedagogical Page Open Time,14:06:06
Checkbox Selected: un_nombre_variable,14:06:06
Pedagogical Page Close Time,14:06:07
Parte 8,14:06:07
Multiplechoice Page Open Time,14:06:07
Checkbox Selected: Balance: € 200,14:06:09
Multiplechoice Page Close Time,14:06:10
Pedagogical Page Open Time,14:06:10
Pedagogical Page Close Time,14:06:10
Parte 9,14:06:10
Pedagogical Page Open Time,14:06:10
Pedagogical Page Close Time,14:06:12
Pedagogical2 Page Open Time,14:06:12
Pedagogical2 Page Close Time,14:06:14

"Modulo 1, Leccion 5",
Parte 1,14:14:09
Pedagogical2 Page Open Time,14:14:09
Pedagogical2 Page Close Time,14:14:24
Parte 2,14:14:24
Pedagogical Page Open Time,14:14:24
Pedagogical Page Close Time,14:14:25
Pedagogical2 Page Open Time,14:14:25
Pedagogical2 Page Close Time,14:14:25
Parte 3,14:14:25
Multiplechoice Page Open Time,14:14:25
Multiplechoice Page Close Time,14:14:28
Draganddrop Page Open Time,14:14:28
Checkbox Selected: valor.,14:14:28
Correct Drop Event: edad,14:14:30
Correct Drop Event: 18,14:14:30
Draganddrop Page Close Time,14:14:31
Parte 4,14:14:31
Pedagogical Page Open Time,14:14:31
Pedagogical Page Close Time,14:14:33
Completeblankspace Page Open Time,14:14:33
Completeblankspace Page Close Time,14:14:35
Parte 5,14:14:35
Pedagogical Page Open Time,14:14:35
Correct Answer Selected: 2028,14:14:35
Pedagogical Page Close Time,14:14:36
Multiplechoice Page Open Time,14:14:36
Checkbox Selected: 24,14:14:40
Multiplechoice Page Close Time,14:14:41
Parte 6,14:14:41
Multiplechoice Page Open Time,14:14:41
Multiplechoice Page Close Time,14:14:44
Pedagogical Page Open Time,14:14:44
Checkbox Selected: 12,14:14:44
Pedagogical Page Close Time,14:14:46
Parte 7,14:14:46
Multiplechoice Page Open Time,14:14:46
Multiplechoice Page Close Time,14:14:48
Pedagogical Page Open Time,14:14:48
Checkbox Selected: un_nombre_variable,14:14:48
Pedagogical Page Close Time,14:14:50
Parte 8,14:14:50
Multiplechoice Page Open Time,14:14:50
Checkbox Selected: Balance: € 200,14:14:52
Multiplechoice Page Close Time,14:14:53
Pedagogical Page Open Time,14:14:53
Pedagogical Page Close Time,14:14:55
Parte 9,14:14:55
Pedagogical Page Open Time,14:14:55
Pedagogical Page Close Time,14:14:55
Pedagogical2 Page Open Time,14:14:55
Pedagogical2 Page Close Time,14:14:56

"Modulo 5, Leccion 1",
Parte 1,14:18:34
Pedagogical Page Open Time,14:18:34
Pedagogical Page Close Time,14:18:36
Completeblankspace Page Open Time,14:18:36
Incorrect Answer Selected: 3,14:18:41
Incorrect Answer Selected: 3,14:18:41
Incorrect Answer Selected: 2,14:18:43
Incorrect Answer Selected: 2,14:18:43
Completeblankspace Page Close Time,14:18:46
Parte 2,14:18:46
Pedagogical Page Open Time,14:18:46
Correct Answer Selected: 12,14:18:46
Pedagogical Page Close Time,14:18:47
Completeblankspace Page Open Time,14:18:47
Incorrect Answer Selected: 12,14:18:49
Incorrect Answer Selected: 12,14:18:49
Incorrect Answer Selected: 2,14:18:51
Incorrect Answer Selected: 2,14:18:51
Incorrect Answer Selected: 3,14:18:53
Correct Answer Selected: 4,14:18:54
Completeblankspace Page Close Time,14:18:55
Parte 3,14:18:55
Pedagogical Page Open Time,14:18:55
Pedagogical Page Close Time,14:18:55
Completeblankspace Page Open Time,14:18:55
Completeblankspace Page Close Time,14:18:59
Parte 4,14:18:59
Pedagogical Page Open Time,14:18:59
Correct Answer Selected: aaa,14:18:59
Pedagogical Page Close Time,14:19:00

"Modulo 5, Leccion 1",
Parte 1,14:21:49
Pedagogical Page Open Time,14:21:49
Pedagogical Page Close Time,14:21:51
Multiplechoice Page Open Time,14:21:51
Checkbox Selected: entre comillas,14:21:53
Checkbox Selected: entre comillas,14:21:54
Checkbox Selected: entre paréntesis,14:21:56
Checkbox Selected: entre paréntesis,14:21:56
Multiplechoice Page Close Time,14:21:58
Parte 2,14:21:58
Pedagogical Page Open Time,14:21:58
Checkbox Selected: sangrado,14:21:58
Pedagogical Page Close Time,14:21:59
Multiplechoice Page Open Time,14:21:59
Checkbox Selected: 6,14:22:02
Multiplechoice Page Close Time,14:22:04
Parte 3,14:22:04
Pedagogical Page Open Time,14:22:04
Checkbox Selected: 5,14:22:04
Pedagogical Page Close Time,14:22:05
Draganddrop Page Open Time,14:22:05
Incorrect Drop Event: while x >= 0:,14:22:17
Incorrect Drop Event: x=10,14:22:17
Incorrect Drop Event: x-=1,14:22:17
Incorrect Drop Event: print(x),14:22:17
Incorrect Drop Event: while x >= 0:,14:22:17
Incorrect Drop Event: x=10,14:22:17
Incorrect Drop Event: x-=1,14:22:17
Incorrect Drop Event: print(x),14:22:17
Incorrect Drop Event: x=10,14:22:42
Incorrect Drop Event: while x >= 0:,14:22:42
Incorrect Drop Event: x-=1,14:22:42
Incorrect Drop Event: print(x),14:22:42
Incorrect Drop Event: x=10,14:22:43
Incorrect Drop Event: while x >= 0:,14:22:43
Incorrect Drop Event: x-=1,14:22:43
Incorrect Drop Event: print(x),14:22:43
Incorrect Drop Event: x-=1,14:23:02
Incorrect Drop Event: while x >= 0:,14:23:02
Incorrect Drop Event: x=10,14:23:02
Incorrect Drop Event: print(x),14:23:02
Incorrect Drop Event: x-=1,14:23:07
Incorrect Drop Event: while x >= 0:,14:23:07
Incorrect Drop Event: x=10,14:23:07
Incorrect Drop Event: print(x),14:23:07
Correct Drop Event: x=10,14:23:16
Correct Drop Event: while x >= 0:,14:23:16
Correct Drop Event: print(x),14:23:16
Correct Drop Event: x-=1,14:23:16
Draganddrop Page Close Time,14:23:17
Parte 4,14:23:17
Pedagogical Page Open Time,14:23:17
Pedagogical Page Close Time,14:23:17
Multiplechoice Page Open Time,14:23:17
Checkbox Selected: 6,14:23:21
Checkbox Selected: 6,14:23:21
Multiplechoice Page Close Time,14:23:28
Parte 5,14:23:28
Pedagogical Page Open Time,14:23:28
Checkbox Selected: 4,14:23:28
Pedagogical Page Close Time,14:23:29
Draganddrop Page Open Time,14:23:29
Draganddrop Page Close Time,14:23:45
Parte 6,14:23:45
Pedagogical Page Open Time,14:23:45
Correct Drop Event: while,14:23:45
Correct Drop Event: :,14:23:45
Correct Drop Event: print,14:23:45
Pedagogical Page Close Time,14:23:46
Multiplechoice Page Open Time,14:23:46
Checkbox Selected: Yes,14:23:49
Multiplechoice Page Close Time,14:23:50
Parte 7,14:23:50
Pedagogical Page Open Time,14:23:50
Pedagogical Page Close Time,14:23:50
Pedagogical2 Page Open Time,14:23:50
Pedagogical2 Page Close Time,14:23:51
Parte 8,14:23:51
Draganddrop Page Open Time,14:23:51
Draganddrop Page Close Time,14:24:05
Correct Drop Event: while,14:24:05
Correct Drop Event: x > 0:,14:24:05
Correct Drop Event: print(x),14:24:05
Correct Drop Event: x -= 1,14:24:05

"Modulo 5, Leccion 1",
Parte 1,14:37:17
Pedagogical Page Open Time,14:37:17
Pedagogical Page Close Time,14:37:18
Multiplechoice Page Open Time,14:37:18
"Checkbox Selected: [16, 25, 36]",14:37:20
Multiplechoice Page Close Time,14:37:21
Parte 2,14:37:21
Pedagogical Page Open Time,14:37:21
Pedagogical Page Close Time,14:37:21
Draganddrop Page Open Time,14:37:21
Incorrect Drop Event: :,14:37:34
Incorrect Drop Event: 8,14:37:34
Incorrect Drop Event: :,14:37:34
Incorrect Drop Event: 8,14:37:34
Draganddrop Page Close Time,14:37:40
Parte 3,14:37:40
Pedagogical Page Open Time,14:37:40
Correct Drop Event: :,14:37:40
Correct Drop Event: 2,14:37:40
Pedagogical Page Close Time,14:37:41
Multiplechoice Page Open Time,14:37:41
Checkbox Selected: 8,14:37:44
Checkbox Selected: 8,14:37:45
Checkbox Selected: 5,14:37:47
Multiplechoice Page Close Time,14:37:48
Parte 4,14:37:48
Pedagogical Page Open Time,14:37:48
Pedagogical Page Close Time,14:37:48
Multiplechoice Page Open Time,14:37:48
"Checkbox Selected: [0, 1, 4]",14:37:50
"Checkbox Selected: [0, 1, 4]",14:37:50
"Checkbox Selected: [1, 25, 81]",14:37:52
Multiplechoice Page Close Time,14:37:53
Parte 5,14:37:53
Pedagogical Page Open Time,14:37:53
Pedagogical Page Close Time,14:37:53
Multiplechoice Page Open Time,14:37:53
Checkbox Selected: [49],14:37:55
Checkbox Selected: [49],14:37:56
Multiplechoice Page Close Time,14:37:58
Parte 6,14:37:58
Pedagogical Page Open Time,14:37:58
"Checkbox Selected: [49, 36]",14:37:58
Pedagogical Page Close Time,14:37:59
Multiplechoice Page Open Time,14:37:59
Checkbox Selected: 1,14:38:02
Checkbox Selected: 2,14:38:04
Checkbox Selected: 2,14:38:05
Checkbox Selected: 4,14:38:06
Multiplechoice Page Close Time,14:38:07
Parte 7,14:38:07
Pedagogical Page Open Time,14:38:07
Pedagogical Page Close Time,14:38:08
Pedagogical2 Page Open Time,14:38:08
Pedagogical2 Page Close Time,14:38:09
Parte 8,14:38:09
Multiplechoice Page Open Time,14:38:09
Checkbox Selected: 1,14:38:11
Checkbox Selected: 3,14:38:13
Multiplechoice Page Close Time,14:38:14

