Unnamed: 0,date,content,rating,isEdited,userName,title,developerResponse,sentiment,matched_python,reviewId,userImage,review,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,standardizedReview,mentionedFeature,mentionedSynonyms
6723,2022-07-08 21:39:03,,5,,Raven Storm,,,POSITIVE,python,7af2d237-d000-4731-8294-36628dce0025,https://play-lh.googleusercontent.com/a-/ACB-R5QHB95gPo9ZcQ_ll7c86gOc4BoeikEfFQQSqOW4,I personally enjoy learning python! I've honestly been having trouble finding what I want to do for a living. But at least I'm gaining a new skill!,0.0,4.23.1,,,personally enjoy learning python ive honestly trouble finding want living least im gaining new skill,status quo sloth,person
7292,2022-06-21 14:36:26,,4,,Dienel Manipol,,,POSITIVE,python,065296d3-09cb-4878-b8e1-7cf633c83d5f,https://play-lh.googleusercontent.com/a-/ACB-R5QDucL_Yi894q7GhjjVvPyS1nfj4hNHHrjepmq4YA,I love it! I understand that they need to profit with their app but i love it I can learn python like i am playing a game..tho i only have 3 lives to try answering questions it gives a nice break not to answer for compliance. It really helps the learner to have a sense of commitment to the learning process. I hope that the developers will not be too greedy to put annoying advertisments and put more restrictions or limitations for studying a course in the future.,0.0,4.21.1,,,love understand need profit app love learn python like playing gametho 3 lives try answering questions gives nice break answer compliance really helps learner sense commitment learning process hope developers greedy put annoying advertisments put restrictions limitations studying course future,torture breaks,live
7699,2022-06-08 11:38:11,,5,,GWA KHALED,,,POSITIVE,python,2508dfd9-136a-48cb-9d52-61c2087d5323,https://play-lh.googleusercontent.com/a/AGNmyxbeCeAtlulxeRpxBA77Y0ltAaQbNo5AtoxmP9M1=mo,"The best app to learn programming especially python, loved it Thanks for the developers❤️👍",0.0,4.20.0,,,best app learn programming especially python loved thanks developers,boosters,special
9055,2022-04-24 13:20:30,,4,,Robolodon 8937,,,NEGATIVE,python,9eda04f5-2258-44ee-9837-878e8976af1e,https://play-lh.googleusercontent.com/a/AGNmyxaFUgvv0f3ryE7bCC1gZRIIguS4x37zPZhTvuW-=mo,"Meanwhile the base learning courses are very good (I am using python), I have been having trouble with the challenges where even the correct solution isn't right and keeps flagging parts as ""incorrect syntax"".",0.0,4.17.1,"
Hello! Thanks for your feedback! We are sorry for the inconvenience! Please send more detailed information to us at info@sololearn.com so that we can help resolve the issue. Looking forward to hearing from you!
",2022-05-02 09:22:39,meanwhile base learning courses good using python trouble challenges even correct solution isnt right keeps flagging parts incorrect syntax,challenges,challeng
9512,2022-04-09 06:27:55,,1,,Marin21,,,NEGATIVE,python,3ae0c8c9-6938-4248-802c-8729099002b6,https://play-lh.googleusercontent.com/a-/ACB-R5RCu32lvpSQrWmyrzJuX0RI9VSEtmVDQUCsR-kjng,"Dislike the way it teaches. I self learned python and knowing the language decided to try this kind of apps and all I can say is that I dislike the way it teaches. Simply said the questions are annoying they make you do the action that the machine is supposed to. For example I am not gonna follow what a while loop does just to answer a question, the machine is supposed execute the while loop not the person instructing it to do so.",6.0,4.16.0,"Hey,
Thanks for your feedback.

We work tirelessly to improve our content, platform, and services by listening to and responding to members of our community. We value every piece of feedback we get and we love to hear ways to make Sololearn a better place for coders.

Your suggestions have been forwarded to the Product team for consideration.
",2022-04-13 01:51:05,dislike way teaches self learned python knowing language decided try kind apps say dislike way teaches simply said questions annoying make action machine supposed example gonna follow loop answer question machine supposed execute loop person instructing,status quo sloth,person
10405,2022-03-09 11:09:33,,4,,Kaleb Mensah,,,NEGATIVE,python,fc19aa31-33bf-461e-9519-87bb444950fe,https://play-lh.googleusercontent.com/a-/ACB-R5Q8UkKwApBKgtruUmvn1lQOC30_Bql7SwyQR4UEfQ,I finished the python cause but not reflecting on my account.,0.0,,,,finished python cause reflecting account,status quo sloth,account
11874,2022-01-20 10:21:50,,2,,Kein Verwalter,,,NEGATIVE,python,4686e178-192e-459e-9ac4-488cc519a94d,https://play-lh.googleusercontent.com/a/AGNmyxYZcD334EVm-rLPMfwREU7nS0PUi4iDHvNeBuRU=mo,"Just found out how much is hidden behind the paywall on python and csharp. Sorry not sorry, I'm out.",5.0,4.11.1,,,found much hidden behind paywall python csharp sorry sorry im,torture breaks,paywal
12272,2022-01-08 11:33:34,,5,,magdaldin Ibrahim,,,POSITIVE,python,3520fc44-6643-42d7-b179-47baf678bcd1,https://play-lh.googleusercontent.com/a/AGNmyxYxYOijGH4EFcKZy1vTfreBKv4llAkrs0eL5QNR=mo,Awesome app especially for beginners I started the python finance course and there is plenty of other courses to start with and plenty of languages to start with didn't see any ads btw,1.0,4.11.1,,,awesome app especially beginners started python finance course plenty courses start plenty languages start didnt see ads btw,boosters,special
16353,2021-07-17 10:31:27,,4,,Richard Bechtel,,,POSITIVE,python,72762dcb-7202-4359-87ed-fafafe9d9392,https://play-lh.googleusercontent.com/a/AGNmyxaDJK1bst6kbGpRW5T5B4D7BXAkDRnu6M50XTbenw=mo,"It's ALMOST a perfect app for learning. I'm tempted to give it a 3 star but it's really a 3.5 Major improvements it NEEDS are: 1) Practice problems for ALL courses instead of just some. Especially for PHP. 2) Some courses have sections that need to be split into several. Namely css animations. 3) They provide multiple python courses covering different topics in python, they should do the same for other languages. Beginner intermediate and advanced? I really want PHP practice problems though.",42.0,4.8.0,,,almost perfect app learning im tempted give 3 star really 35 major improvements needs 1 practice problems courses instead especially php 2 courses sections need split several namely css animations 3 provide multiple python courses covering different topics python languages beginner intermediate advanced really want php practice problems though,boosters,special
18151,2021-04-20 12:29:31,,1,,Sant Yadav,,,NEGATIVE,python,8063c365-90f7-4885-9945-91cff68e85f4,https://play-lh.googleusercontent.com/a-/ACB-R5Su2waVHRludaXyc2qQKliuGWSIBfgxtx3gNgXSYQ,"For community it is good but for programming it is very bad only for html css, but it does not support any big or meduim like programs in python and c also you cannot code in more than 10 or 11 language i want to code but this app is not good for coding it is good for community practise message and like social network..... For good programming and if you want to code on projects you can install dcoder and its community is not good like this but dcoder's programming language section is good",1.0,4.6.2,,,community good programming bad html css support big meduim like programs python c also cannot code 10 11 language want code app good coding good community practise message like social network good programming want code projects install dcoder community good like dcoders programming language section good,social discovery,social network
18517,2021-04-02 12:21:41,,4,,Arsh Khan,,,POSITIVE,python,0559edc9-56ab-4ed1-92fb-392d8470faf1,https://play-lh.googleusercontent.com/a-/ACB-R5SoZ4d9-4R0oyc317xQyc8oAWgE_3uAaOpsnqSh0Q,"Currently one of the best app for kearning how to code imho, however the course specially python is based too much around maths even 2hen it can avoid it.",0.0,4.6.1,,,currently one best app kearning code imho however course specially python based much around maths even 2hen avoid,boosters,special
18777,2021-03-18 09:44:17,,4,,Joe Bardon,,,NEGATIVE,python,671297cf-e560-4528-ab0b-0698cb40de1f,https://play-lh.googleusercontent.com/a-/ACB-R5SWklli96dfxtNFD3l7v4X_MF0riH0xJJHInn6bnw,"Generally a great app in many way but it is slightly let down by a couple of things. Firstly, it seems like they gave up on a few of the modules, most noticeably the OOP module in python. Secondly, the lack of functionality on the web based app means you have to do a lot of the challenges on your phone and typing code on your phone is a pain! Other than that it has been a really excellent and helpful course and I am happy I went pro.",57.0,4.5.2,,,generally great app many way slightly let couple things firstly seems like gave modules noticeably oop module python secondly lack functionality web based app means lot challenges phone typing code phone pain really excellent helpful course happy went pro,challenges,challeng
21189,2020-11-27 09:58:58,,5,,Sascha Litscher,,,POSITIVE,python,9064d27a-e91e-432b-bdea-c994d76754e9,https://play-lh.googleusercontent.com/a/AGNmyxZI3v-grSAsXj4LV7nBz2Twk_2Ub9WZVUrEf3c9=mo,"Very nice app. Learning the basics of python by theory, coding what you learnt and then having challenges and quizzes. I love the way it is built up and the community behind it is very helpful. Also you can use it very well in the free version with only some short ads and few functionalities locked.",7.0,4.0.5,,,nice app learning basics python theory coding learnt challenges quizzes love way built community behind helpful also use well free version short ads functionalities locked,challenges,challeng
21704,2020-11-09 07:31:00,,2,,samsung galaxy,,,NEGATIVE,python,9f327aaf-5dc2-4c87-8832-3c0e901d78cf,https://play-lh.googleusercontent.com/a/AGNmyxZtzoEI80LnckQXW-xxSvq_SJIAIu5E_F883ciH=mo,Was better as learnpython. They put the code test behind a paywall. Find something with fewer ads.,3.0,4.0.2,,,better learnpython put code test behind paywall find something fewer ads,torture breaks,paywal
22393,2020-10-17 21:09:54,,5,,Jake H,,,NEGATIVE,python,e9905a58-bcfd-4c0f-baf6-e64ad08d6d9b,https://play-lh.googleusercontent.com/a-/ACB-R5Snr1u5Q0TgViZHA65krS3g0lBc9L-T1Oh3zoHP6Q,"This is an updated review. The app has been much improved since I last used it back in 2017. The pro coding exercises for python in the app are great and can be very challenging at times. My only gripe at the moment is that the website doesn't offer the coding exercises found in the app, even if you pay for pro. Also, when using a bluetooth keyboard (or emulating Android in Bluestacks) the keyboard doesn't 100% correctly in the editor. I can type all day, but I still have to touch TAB...",0.0,4.0.0,,,updated review app much improved since last used back 2017 pro coding exercises python app great challenging times gripe moment website doesnt offer coding exercises found app even pay pro also using bluetooth keyboard emulating android bluestacks keyboard doesnt 100 correctly editor type day still touch tab,challenges,challeng
22480,2020-10-15 11:45:27,,5,,Marion Mbithe,,,POSITIVE,python,4f336356-2c5d-4c3c-b8ea-af2a103565ee,https://play-lh.googleusercontent.com/a/AGNmyxbdPUqCLF3cquofmaoVFHWplBuHvuz4FuBR2FCi=mo,"I love using solo learn as it helps me sharpen my skills in python language, the challenges offered are also good. It's a great app.",0.0,3.5.0,,,love using solo learn helps sharpen skills python language challenges offered also good great app,challenges,challeng
23402,2020-09-22 22:54:08,,5,,deepak tanneeru,,,POSITIVE,python,2b2151e5-3d06-4a53-8886-aaed61858fb2,https://play-lh.googleusercontent.com/a-/ACB-R5RoD05qKD5APp0h3MoltPwSSH8UWEb4F8R_Scytng,"I'm learning python mostly. It has a lot of material which transforms a beginner level person to upper intermediate level with ease of understanding. And the community is really great and lot of helpful comments by various #sololearner are amazing. Don't forget to use their inbuilt compiler for concept understanding. Experimenting and questioning why it behaves like this are key part in ur learning process. In few lessons, reading material is not concise, but rest is good.",0.0,3.5.0,,,im learning python mostly lot material transforms beginner level person upper intermediate level ease understanding community really great lot helpful comments various sololearner amazing dont forget use inbuilt compiler concept understanding experimenting questioning behaves like key part ur learning process lessons reading material concise rest good,status quo sloth,person
23636,2020-09-17 20:24:11,,5,,Jeremy Milliken (xdragonx689),,,POSITIVE,python,03dea1ae-f006-48a3-85ba-64752ec5e6a3,https://play-lh.googleusercontent.com/a-/ACB-R5ReKCPl27f1LTkLXX1R58a-DW6l5kFvU-XI1nenbA,I'm learning alot with this app. It is wonderful to kill some time through out my day and do an excersize here and there. It's convienent and a great way to practice code. The step by step help is nice. It's very well done overall I belive. Very helpful. I have gotten far into the c# and some of the python.,0.0,3.5.0,,,im learning alot app wonderful kill time day excersize convienent great way practice code step step help nice well done overall belive helpful gotten far c python,torture breaks,live
24924,2020-08-23 21:45:07,,4,,For Reviews,,,POSITIVE,python,cb84284d-f6ef-4283-8877-1a04e13782c7,https://play-lh.googleusercontent.com/a/AGNmyxav7qI6D4E7jFJLPdifqv4Mn2e5T5xQfebgW7fU=mo,"Awesome app. Lots of various code to learn, easy execution, well formatted, useful online chat forums and comments. And love the feature where you can share code with other users. Could use some more interactive challenges and classes but very pleased, they have coding for all kinds of things, from javascript, C#, python, to machine learning and html. Pleased, also not too many ads and all for free!",0.0,,,,awesome app lots various code learn easy execution well formatted useful online chat forums comments love feature share code users could use interactive challenges classes pleased coding kinds things javascript c python machine learning html pleased also many ads free,challenges,challeng
25212,2020-08-18 05:45:10,,2,,Mufudzi Chiguvare,,,NEGATIVE,python,fd72d8f5-7e7c-486c-a4f7-11b59f9a670b,https://play-lh.googleusercontent.com/a/AGNmyxb0rLjhEBgQ3WyKaeRVFTkqcX84h6SJq2YW4cqZ=mo,I would give u a 5 star but no...i spent more than _20 mins writing python code for the jungle camp challenge to only find that it had an EOF error...i try again for more than 6 times but it fails..i copy the code and paste it on the code playground and then works...but when i return it does not work..dont get me wrong this is a very helpful app and i really like it but this just makes me angry and feel like quit programing which is not supposed to happen,10.0,3.4.3,,,would give u 5 star noi spent _20 mins writing python code jungle camp challenge find eof errori try 6 times failsi copy code paste code playground worksbut return workdont get wrong helpful app really like makes angry feel like quit programing supposed happen,challenges,challeng
25226,2020-08-17 23:13:34,,4,,Otieno Ian,,,POSITIVE,python,f4a8a582-d173-4554-b0cd-86e3cd6bb421,https://play-lh.googleusercontent.com/a-/ACB-R5TCPofAJLSc9Ot_E5FnKdKWBCSUvhANdQeoQwu0,"This app is great.The thing they have got to do something to their Code Playground.When using python I cannot import third party modules giving so much limitation on whatever you do with this app.Though to say the truth, the experience was great. I love their coding challenges and their play section for some coding battles. This a great community for any beginner learning to code since I was once their and it was like a year ago. This app is great and I would recommend it to my friends.",0.0,3.4.5,,,app greatthe thing got something code playgroundwhen using python cannot import third party modules giving much limitation whatever appthough say truth experience great love coding challenges play section coding battles great community beginner learning code since like year ago app great would recommend friends,challenges,challeng
25713,2020-08-05 05:25:52,,5,,अतुल प्रकाश,,,NEGATIVE,python,b0053682-1684-44f0-b563-e4340f339a19,https://play-lh.googleusercontent.com/a/AGNmyxbXDTvz5TrKS7Bfp-LL4ZqBk8WsdfNZG_0zSwX9=mo,"Sir please make free the prolearn content and upgrade with new courses like artificial intelligence etc and add challenges for mysql, css, and etc.Add code coach challenges to all courses not only in python",0.0,3.4.6,,,sir please make free prolearn content upgrade new courses like artificial intelligence etc add challenges mysql css etcadd code coach challenges courses python,challenges,challeng
26354,2020-07-21 07:24:26,,5,,mahdi keshtani,,,POSITIVE,python,cb7e4f9c-4b70-4e14-a61e-57a782c382e8,https://play-lh.googleusercontent.com/a/AGNmyxYqZJ64YvtyfGg8qz7qBoA31FLJATpgukg81dxF=mo,Best python courses ever! Also this app has a social network like Instagram that help programmers know eachother and solve programs together... And you can competition with others programmers! Just install it you will not be disappointed!,0.0,3.4.5,,,best python courses ever also app social network like instagram help programmers know eachother solve programs together competition others programmers install disappointed,social discovery,social network
28397,2020-06-09 10:27:08,,1,,Bob,,,NEGATIVE,python,efa5fc07-e636-4106-ae0a-424e9966bb96,https://play-lh.googleusercontent.com/a-/ACB-R5SKKFQmQIIwfvCL7N8EPfJHQ-VnXu0rz2jc7PgacA,Sololearn deleted all my progress so I had to start from the beginning and all the oop especially python horrible and everybody comments on it but they dont bother fixing it.,5.0,3.3.1,"Hello,
Thanks for your feedback!
We are sorry for the inconvenience.

Our development team is aware of the problem and working hard to fix it as soon as possible.
Please contact us at info@sololearn.com for more information.",2020-06-10 08:52:15,sololearn deleted progress start beginning oop especially python horrible everybody comments dont bother fixing,boosters,special
29130,2020-05-28 00:38:58,,5,,Ashish Kumar Burnwal,,,POSITIVE,python,37c116d1-3f7f-4d44-b93c-a53421488cc4,https://play-lh.googleusercontent.com/a-/ACB-R5TL8x-h1GHHN_tdoV52MTwt8ZWoG8g5TCqwWF2FVA,"It is best way to start. You can learn html, java, python, css, php, and many more language. The content of this app is very awesome and have a large valuable community who are passionate to code. Every chapter have a comment area where you can comment about that. Here a lot of useful comment which fulfill the sololearn content. If you are a beginner you must start with this app. You can follow top coders and also your friends. There is also challenges which improves your knowledge.",0.0,3.3,,,best way start learn html java python css php many language content app awesome large valuable community passionate code every chapter comment area comment lot useful comment fulfill sololearn content beginner must start app follow top coders also friends also challenges improves knowledge,challenges,challeng
30856,2020-04-30 08:46:48,,5,,Vitus Graule,,,POSITIVE,python,327fd3ba-dfdb-4589-8bcb-478ddd1cf0ae,https://play-lh.googleusercontent.com/a/AGNmyxaGph_Zi4UGaDIP6HcTA8PAhOaNm0jtEMbHYbtF=mo,"Nice, desciptive and easy tutorials to get the basics for a programming language. I only tryed out Java-tutorial jet. Might have more features i did not use jet, like challenges/tasks from the community and content developer. I would recommend this app but i also thinks it is hard for beginners (without any knowledge). Use the app to recap knowledge and play around with different languages (python, java ,...)",1.0,3.2.4,,,nice desciptive easy tutorials get basics programming language tryed javatutorial jet might features use jet like challengestasks community content developer would recommend app also thinks hard beginners without knowledge use app recap knowledge play around different languages python java,challenges,challeng
32568,2020-04-05 03:51:13,,5,,A Google user,,,POSITIVE,python,2a8f0f75-18b1-4f63-a4c6-aa948d9741e6,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Very nice app for learning. I'm using it to learn python and so far it's very helpful. Lots of content with discussions, challenges and possibility to test and play with code.",0.0,3.2.3,,,nice app learning im using learn python far helpful lots content discussions challenges possibility test play code,challenges,challeng
35140,2020-02-11 07:36:19,,5,,A Google user,,,POSITIVE,python,ae33649b-d2cd-4e07-986a-6a1e24751837,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"The best learning experience i ever seen.... The coding challenges are awesome..... Before i see sololearn, my time killer is whatsapp... 😅😅 But now i am fell love with sololearn.. And learn more about python and its modules.... Thanks developers..... Plz tell how i give more stars.....",1.0,3.1.1,,,best learning experience ever seen coding challenges awesome see sololearn time killer whatsapp fell love sololearn learn python modules thanks developers plz tell give stars,challenges,challeng
36068,2020-01-22 07:02:13,,4,,A Google user,,,POSITIVE,python,368451c1-85ad-4cac-993f-59c138b22255,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Used for Python. Overall, has decent, concise summaries on python topics. A few topics were very poorly explained though, especially OOP (from a beginner's pov), but might be sufficient for those revising. One huge advantage is the comments section for every single topic, where fellow learners have provided extremely useful explanations. Definitely worth a try for Python. Thank you to the developers for that.",0.0,3.1,,,used python overall decent concise summaries python topics topics poorly explained though especially oop beginners pov might sufficient revising one huge advantage comments section every single topic fellow learners provided extremely useful explanations definitely worth try python thank developers,boosters,special
37175,2019-12-29 15:18:20,,5,,A Google user,,,POSITIVE,python,8bb4360d-3859-475c-bfda-6cee0c52d02d,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,I recently started learning python on this app and I feel like I'm nicely progressing. The lessons are clear and well explained and the proposed challenges are a great way of learning the logic behind coding. So I recommend this app a 100%,3.0,3.1,,,recently started learning python app feel like im nicely progressing lessons clear well explained proposed challenges great way learning logic behind coding recommend app 100,challenges,challeng
44726,2019-08-21 13:17:31,,4,,A Google user,,,POSITIVE,python,789f6276-1816-4748-8c9c-d6f1f741f0c0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Best app to learn programming. Has challenges and best of all a section for users to ask questions and get answers from other users, you can even share your codes. I will rate it 5 stars after studying python there.",0.0,2.5.5,,,best app learn programming challenges best section users ask questions get answers users even share codes rate 5 stars studying python,challenges,challeng
44896,2019-08-19 16:22:10,,1,,A Google user,,,NEGATIVE,python,7335b0b7-2396-46dd-9ff5-ef3aa2ee65ae,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,well while learning python solo learned challenged me . accepted it and it asked questions that i didn't learned yet . its discouraging.,0.0,2.5.5,,,well learning python solo learned challenged accepted asked questions didnt learned yet discouraging,challenges,challeng
