Unnamed: 0,date,developerResponse,content,rating,isEdited,userName,title,sentiment,matched_python,reviewId,userImage,review,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,standardizedReview,mentionedFeature,mentionedSynonyms
16631,2020-10-13 12:46:52,,,5,,Rosendo Viegas,,POSITIVE,python,c077357e-6a28-48cd-94f6-e6375e4178b4,https://play-lh.googleusercontent.com/a-/ACB-R5RMUxClnmumXOQWDbJkJv4QFI_ec_CArLB5s6b7Mg,"I so love the app especially the python, javascript, html, css, flask it was very easy to understand 😄🤯 but I just wish that thare was a database for python available but the app is And there is django course. I'm over the moon🌙 It's unbelievable. sometimes tells me its the only place to learn django in the best way App is 101% worth it",3.0,5.1.31,"Dear Rosendo Hurray! Your feedback really means a lot to us! We really appreciate you taking the time out to share your experience with us.If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better. -JP",2020-09-24 17:40:26,love app especially python javascript html css flask easy understand wish thare database python available app django course im moon unbelievable sometimes tells place learn django best way app 101 worth,boosters,special
17561,2020-09-20 12:51:30,,,4,,pankaj awghad,,POSITIVE,python,4914a39f-874a-4479-9fae-6808e735ed0b,https://play-lh.googleusercontent.com/a-/ACB-R5QW2S-cBojcoWqLuUR1c90pfS-hPUOJnBYVIuemVw,I have completed python basic very easily. I hv upgrade to pro version and unlocked the courses. I wish the programming hub team all the best. They are doing vgood job. I personally say that if anyone wants to create Good foundation this is a Good option to start with however just don't stop but upskill urself by getting more in detail thru other options.,3.0,5.1.31,"Dear Pankaj, Thank you so much for your support. We will definitely take note of your feedback so that we can improve our service further. If you need any assistance, please contact us at Hello@prghub.com and we’ll be more than happy to help you :) -JP",2020-09-21 16:23:37,completed python basic easily hv upgrade pro version unlocked courses wish programming hub team best vgood job personally say anyone wants create good foundation good option start however dont stop upskill urself getting detail thru options,status quo sloth,person
19016,2020-08-24 23:33:35,,,5,,PRABHJOT SINGH,,POSITIVE,python,740c597c-0a2f-436f-a8ec-8fd94d6eb434,https://play-lh.googleusercontent.com/a-/ACB-R5Rc4Kfke-6IMhnIbpHt9Lige7d7_tu4JXiSGT0Lww,I am premium member and I love this app but I want to. Know if you will ever provide language with thier respective gui libraries like tkinter in python swing if this will be added it's great please take care of this specially add tkinter module for python.,0.0,5.1.30,"Hi Friend, Thank you for your supportive feedback! We assure you that we are listening to your requests and will definitely consider it in the future updates to provide you with a much better learning experience. If you need any assistance, please feel free to get in touch with us at Hello@prghub.com and we'll be very happy to assist you! -DK",2020-08-25 15:13:14,premium member love app want know ever provide language thier respective gui libraries like tkinter python swing added great please take care specially add tkinter module python,boosters,special
22080,2020-06-22 23:21:01,,,5,,Although Tech,,POSITIVE,python,2ed136eb-9274-4da7-8cf0-483b1ab9b5f0,https://play-lh.googleusercontent.com/a-/ACB-R5TatvujZGKFwnsHJzRk5DRgLAvSnQcar0C4V0maMg,"It's so good and to good . This help us to learn many type of programing language and do easy to learn code . There are many type of languages studies in this app like python, java, c++, etc. It's very easy to learn 😊👍 so good I liked this app much... Cool app. And I'm a Indian person it's true about this app so good ---------- ( PROGRAMING HUB: LEARN TO CODE )",1.0,,"Hey krish, We are so glad that you’re enjoying our courses. Our commitment is to provide you with a constantly improving content and services so that you'll always have an amazing learning experience with Programming Hub! If you need any assistance, please get in touch with us at Hello@prghub.com and we'll be very happy to assist you :) -JP",2020-06-23 05:43:06,good good help us learn many type programing language easy learn code many type languages studies app like python java c etc easy learn good liked app much cool app im indian person true app good programing hub learn code,status quo sloth,person
26400,2020-02-09 00:06:13,,,2,,A Google user,,NEGATIVE,python,2eef0855-52b6-4827-8113-295add393501,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Iam using this app for three months. I have some pros and cons on this app. Pros:simple UI, faster, many topics covered in all platforms... Cons:less content coure like, in python does not have so many topics it is empty as well as c and c+ also.There is no option for multi users in a single account.All are basics... There is no deep topics... Simply waste of money and time too... As well as there is no notifications....No useful data in it... I don't recommend this for anyone.",4.0,5.0.32,"Dear Prakash,
Thank you so much for your support. We will definitely take note of your feedback so that we can improve our service further. If you need any assistance, please contact us at Hello@prghub.com and we’ll be more than happy to help you :)

-SV",2020-02-09 00:26:27,iam using app three months pros cons app prossimple ui faster many topics covered platforms consless content coure like python many topics empty well c c alsothere option multi users single accountall basics deep topics simply waste money time well notificationsno useful data dont recommend anyone,status quo sloth,account
26402,2020-02-09 00:03:56,,,2,,A Google user,,NEGATIVE,python,06856b89-c6af-4ccf-9dd3-7412a2d2f5b1,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Iam using this app for three months. I have some pros and cons on this app. Pros:simple UI, faster, many topics covered in all platforms... Cons:less content coure like, in python does not have so many topics it is empty as well as c and c+ also.There is no option for multi users in a single account.All are basics... There is no deep topics... Simply waste of money and time too... As well as there is no notifications....No useful data in it... I don't recommend this for anyone.",1.0,,"Hey Lakshmi,
We apologize for not meeting your expectations. On the other hand, thanks for sharing your feedback as it greatly helps us improve and understand what our learners need, want and expect from us. If you need any assistance, please don't hesitate to contact us at hello@prghub.com and we'll be more than happy to assist you!
-PA",2020-02-12 14:17:44,iam using app three months pros cons app prossimple ui faster many topics covered platforms consless content coure like python many topics empty well c c alsothere option multi users single accountall basics deep topics simply waste money time well notificationsno useful data dont recommend anyone,status quo sloth,account
31931,2019-07-19 19:16:47,,,5,,A Google user,,POSITIVE,python,4ab7d8bd-f610-472e-8d00-c8cfddc1efec,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"gud app i love it, it takes one from zero knowledge about python and makes the person know their storyin few days",0.0,5.0.14,"Hi Friend!
We're glad that we’ve been helpful to you. It is our goal to make your learning experience truly delightful and enjoyable. Do recommend us to your friends too! :)If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!
-PA",2019-07-20 05:15:01,gud app love takes one zero knowledge python makes person know storyin days,status quo sloth,person
32329,2019-07-07 09:11:37,,,3,,A Google user,,POSITIVE,python,3b517c57-c330-4052-a181-81fad88c310e,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"This app is pretty good for begginers and I am one. The lesson are not to challenging, for what I'm doing which is python, but they are really easy to memorize and they let you understand the code easily. The reason I'm giving it a 3 star is because majority of the classes you need the pro membership and that really sucks.",1.0,5.0.14,"Dear Friend
We're hoping that our free courses have been helpful. We completely understand where you're coming from so we would love to hear from you at hello@prghub.com so that we can work out a solution that will make you smile. We're looking forward to speaking with you soon!
-PA",2019-09-11 04:57:05,app pretty good begginers one lesson challenging im python really easy memorize let understand code easily reason im giving 3 star majority classes need pro membership really sucks,challenges,challeng
33316,2019-06-04 16:34:48,,,5,,A Google user,,POSITIVE,python,283e208b-9ac1-4972-851f-50ee0ce35e96,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Seriously...no other application can break the record of this application. Learning python on this app is very fun & interesting. I live this application. Many thanks for the team, working to provide this application & it's services to us.",5.0,5.0.14,"Dear Niteesh,
Congratulations! We're very excited to tell you that we've chosen your feedback to be included in our weekly featured reviews and might be published in our blogs and websites! Please reach us out at Hello@prghub.com and we'd love to hear more about your experience with us. :)
-PA",2019-06-07 06:21:47,seriouslyno application break record application learning python app fun interesting live application many thanks team working provide application services us,torture breaks,live
34176,2019-05-09 03:49:41,,,4,,A Google user,,NEGATIVE,python,e51acb46-0087-43b6-bc81-40ecb28e4a9f,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"edit: I got refunded, ty. at least they have nice customer relations. -deleted-... I bought it in order to learn Python, but their curriculum for python is literally just some random codes....-deleted-",143.0,5.0.13,"Dear Mehmet,
We greatly appreciate that you've updated the review for us. Feel free to get in touch with us anytime and we'll be more than happy to assist you!
-PA",2019-05-10 02:03:32,edit got refunded ty least nice customer relations deleted bought order learn python curriculum python literally random codesdeleted,status quo sloth,custom
39008,2018-12-28 00:36:05,,,5,,A Google user,,POSITIVE,python,a2ffba1b-7563-44bd-9156-4e46d716eafc,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"I did the fundamental course. I think it was well put together and the system of exlaining was wonderful . It help me so much as a newby ""noob"" to grasp the concept. Waiting for python course to be made available. I am definitely going to make use of the special you offering on lifetime membership as soon as funds are available. Thank you for this awesome app",0.0,5.0.8,"Dear Friend,
Thank you very much for the review and your feedback is of a great value for us. We are glad that you are happy with our application. Keep loving and supporting us. We will definitely keep you satisfied and provide you with the best learning experience.
-SS",2018-12-28 07:20:03,fundamental course think well put together system exlaining wonderful help much newby noob grasp concept waiting python course made available definitely going make use special offering lifetime membership soon funds available thank awesome app,boosters,special
40139,2018-06-03 15:55:26,,,5,,A Google user,,POSITIVE,python,06a7c1cc-82ef-4a24-80e8-b8b830108df5,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Dear App developers many many good wishes from me for giving this gift to 
those students interested on programming. Please make a special app with 
python 2 and Python 3 pro course.",0.0,,"Dear Friend,
Thank you very much for your review.
We have noted down your request and will work on it.
Keep loving and supporting us. All the best for your learning process and future endeavours.
-NY",2018-06-04 05:03:50,dear app developers many many good wishes giving gift students interested programming please make special app python 2 python 3 pro course,boosters,special
46586,2015-10-02 16:05:32,,,3,,A Google user,,NEGATIVE,python,13c36319-8258-4644-8991-72b7d892eef0,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Could do with more python content (refs are promised). Code could have more educational comments in general.,0.0,2.6.8 - 2015.08.6,"Hey Luke ,
We have plans to add Code explanations as well, it will be available in near future :)

Thank you :)",2015-10-03 01:16:20,could python content refs promised code could educational comments general,voting,content r
