Unnamed: 0,reviewId,userName,userImage,review,rating,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,sentiment,standardizedReview,mentionedFeature,mentionedSynonyms
336,11df884e-c1be-41d1-b3e5-66ba37ca9a1f,Dimitar Petrov (nc),https://play-lh.googleusercontent.com/a/AGNmyxaHXDzVTF7qJwDcTEkUCdTBXgh7dNME3PYu4QCd=mo,"Very buggy app, good looking but buggy, flashcards and coding especially edit: actually unusable",2,1,66.0.0,2022-11-21 18:39:01,,,NEGATIVE,buggy app good looking buggy flashcards coding especially edit actually unusable,boosters,special
391,573a871c-f9c5-4759-9c66-404982751301,KD Foundations,https://play-lh.googleusercontent.com/a/AGNmyxZ1BYw8n6EJKoKy1mjAe4iyELVBUf0miWjLLC4U=mo,"dataCamp is interested in your data skills. Their lessons are well structured and exercises optimized for content retention. Solo-programming for years I have been passive, but the projects, workspace and best of all ease of access, makes it absolutely rewarding. Well done!",5,1,65.0.0,2022-11-10 16:21:14,,,POSITIVE,datacamp interested data skills lessons well structured exercises optimized content retention soloprogramming years passive projects workspace best ease access makes absolutely rewarding well done,voting,content r
424,4a07fa15-99c9-468f-9173-dea80bc1e3fe,elizabeth etido,https://play-lh.googleusercontent.com/a/AGNmyxZYj9kFZspgd37V3S6YTvOSxTS8jIdS-oCBHFSc=mo,"The best experience, Datacamp is structured to make you accountable and track your progress. It's been literally life saving, especially when you're overwhelmed by the complexities of coding.",5,2,64.0.0,2022-10-30 13:41:57,,,POSITIVE,best experience datacamp structured make accountable track progress literally life saving especially youre overwhelmed complexities coding,"boosters, status quo sloth","special, account"
433,bf7ec075-7c89-4c25-b964-6b18126c1412,Filip Ciąder,https://play-lh.googleusercontent.com/a-/ACB-R5QsAc3tSTTWrrMDF2h4c21hN2OA611rZFGDLadmVQ,"Very nice reminder. Huge paywall, but makes access on 1 lesson daily, what made me practicing regularly. Edit: Many times in android-based editor's backspace seems to work as delete and undo changes after move. It's very irritating.",5,0,63.0.0,2022-10-26 13:14:18,,,NEGATIVE,nice reminder huge paywall makes access 1 lesson daily made practicing regularly edit many times androidbased editors backspace seems work delete undo changes move irritating,torture breaks,paywal
520,0bdad832-f77f-4272-8bb1-c17eaf2fc6f1,Peace Amaka Nwafor,https://play-lh.googleusercontent.com/a-/ACB-R5QpZJyH1PPtgvU-vxv_qqmiOGY8f6DPMY4Oh2GrMw,"it's been amazing learning through this App however, I'd like that the wait time to the next class be reduced and more coding time added.",5,0,62.1.0,2022-10-03 01:47:35,,,POSITIVE,amazing learning app however id like wait time next class reduced coding time added,torture breaks,wait tim
522,01af9bf5-ac05-45f4-9a09-a5815aff8081,Vivian Ofem,https://play-lh.googleusercontent.com/a-/ACB-R5QqRFciSKqR5go6HF3MHtzervQwuLJGFdDIjO5-Cg,I enjoy using this app and it's very explanatory especially if you have no background in information technology,5,0,62.1.0,2022-10-01 21:28:32,,,POSITIVE,enjoy using app explanatory especially background information technology,boosters,special
680,4aadf334-ab6e-459f-a0a7-2c2e2869af7e,B3ast-Killer FN,https://play-lh.googleusercontent.com/a-/ACB-R5RJATj9mzHyeXabt8LFe8LzXd0Ee9BYMJnMoZOu0g,"Excellent app for learning, especially data science as it mainly focuses on practicals rather than theory there is simply no ther good website like datacamp to learn programming out there.",5,0,59.0.0,2022-08-23 11:42:45,,,POSITIVE,excellent app learning especially data science mainly focuses practicals rather theory simply ther good website like datacamp learn programming,boosters,special
685,c27bef80-6528-4ffe-9765-393052f56bf2,Aleck von Muller,https://play-lh.googleusercontent.com/a-/ACB-R5TydLpaaVn33sbB9s9bAhpTCuQlTxwl7r3mdodrjg,"Lovely app for learning on the go! There is a definitely a pay wall to how much you can learn in a day, but subscription is kinda pricey unless you really dedicate like two months of time then remove the sub. Still, very informative, easy to understand, and if paywalls pop up, wait a day or even supplement through Khan academy YouTube!",5,0,59.0.0,2022-08-22 12:20:32,,,POSITIVE,lovely app learning go definitely pay wall much learn day subscription kinda pricey unless really dedicate like two months time remove sub still informative easy understand paywalls pop wait day even supplement khan academy youtube,torture breaks,paywal
688,49b6debd-7ad5-487a-96cb-b265bc8a2b23,Peace Akinlolu,https://play-lh.googleusercontent.com/a-/ACB-R5QbDYkPWD7WUy6w7OUmejgPAiANLnOXI6q5REChAg,"Really great experience so far. Thank you. However, i would like the app content to be as robust as that of your website. Thanks once again",4,0,59.0.0,2022-08-22 08:15:41,,,POSITIVE,really great experience far thank however would like app content robust website thanks,voting,content r
719,b362ba71-cd0a-42b9-a107-a2cac64a6789,VIVA La Burns,https://play-lh.googleusercontent.com/a-/ACB-R5TGWkTYVLzz83OZ_a2_v_dhooyr99BOdkr18SMk,"Great app to progress your data skills, great UI &UX to learn. The points system makes it seems as you are playing a video game instead of traditional learning.",5,0,59.0.0,2022-08-17 11:41:07,,,POSITIVE,great app progress data skills great ui ux learn points system makes seems playing video game instead traditional learning,points system,points system
735,798178fb-2b70-4d8f-9b4f-b2e3ab143f4c,Noah Alderman,https://play-lh.googleusercontent.com/a/AGNmyxaqoSHEqQpzSsNI8kOou81xVX35PoXhakKWOlCf=mo,"Wow! I'm enjoying the app. However, it would be better if you'd added night mode and modified videoplayer so that it fit full-screen with a special button.",5,0,58.0.0,2022-08-15 17:26:15,,,POSITIVE,wow im enjoying app however would better youd added night mode modified videoplayer fit fullscreen special button,boosters,special
763,4bbeedea-f89d-4be8-8ea3-3278be3419dc,Fikile Simelane,https://play-lh.googleusercontent.com/a-/ACB-R5RtmyEcFlfLP8YKlWxssEQuDVesnXkcYucTBtNfnQ,It's a very amazing app I love it so much very interactive but it has long hours before the next challenge,4,0,58.0.0,2022-08-08 06:59:35,,,POSITIVE,amazing app love much interactive long hours next challenge,challenges,challeng
823,fa3e9a5f-1a19-4a02-a011-822373f50c38,Ashrulochan Sahoo,https://play-lh.googleusercontent.com/a-/ACB-R5RHRZb9OaYwaagP-gi5wyydt64qTsplTrJZkTtHSHw,For Data Personal By Data Personal DataCamp courses are pretty good from basics to advanced. Full with exercises. Good for beginners as well as advance learners. The only reason I am giving 4 star is the mobile app. It flickered sometimes.,4,0,57.0.0,2022-07-24 07:07:44,,,NEGATIVE,data personal data personal datacamp courses pretty good basics advanced full exercises good beginners well advance learners reason giving 4 star mobile app flickered sometimes,status quo sloth,person
831,b1eef918-629a-48e6-81bf-f298c2a77616,Souvik Hazra,https://play-lh.googleusercontent.com/a-/ACB-R5T8vGAx20NTisogMM0Xzih7ZHGlsZlXRvq4-bYhQ0Y,"Just awesome, It's best for that person who want to learn on his/her own.",5,0,57.0.0,2022-07-23 03:35:04,,,POSITIVE,awesome best person want learn hisher,status quo sloth,person
835,a3cf97ae-968a-4aa0-a970-6432f3fdc3a8,Christopher Sitweti,https://play-lh.googleusercontent.com/a-/ACB-R5QqxKOpx7JiLFq7_xSsU_FdrTIPUPumLvJx_MMWWA,I love the style of delivery; makes concepts seem easier.,4,0,57.0.0,2022-07-22 13:56:48,,,POSITIVE,love style delivery makes concepts seem easier,torture breaks,live
922,d97e7646-8a49-41e0-b266-b8f02e6457a7,Boluwatife Fasogbon,https://play-lh.googleusercontent.com/a-/ACB-R5SCowPUeLCay3xWTGtWdJMyrFooLAdwryAXZNgHnw,DataCamp is a great learning resource for anyone interested in data science with no experience. I also love the daily challenges that helps you to refresh what you have learnt from previously completed sources.,5,0,56.0.0,2022-07-07 08:44:31,,,POSITIVE,datacamp great learning resource anyone interested data science experience also love daily challenges helps refresh learnt previously completed sources,"daily streaks, challenges","daily challeng, challeng, daily challeng"
934,80a458d0-e525-4710-a01f-9d1756907ee9,Salisu Umar,https://play-lh.googleusercontent.com/a/AGNmyxYK1Vn3H8eldCCJdSnLsw-6BkGApBSiwEbNSjdd=mo,Very good app with personalized experience for individuals interested in career in data science,4,0,56.0.0,2022-07-04 13:56:40,,,POSITIVE,good app personalized experience individuals interested career data science,status quo sloth,person
935,61526f83-f6f4-41ad-af81-c0c964d12017,Kasia,https://play-lh.googleusercontent.com/a/AGNmyxaIH-285R_PUk7ioc_QV3QJGsubBswh6DyKFhhd=mo,I cannot log in with my account in the application. ===update=== I can finally log in. The app is pretty decent and I enjoy the datacamp content and way of teaching. The only thing worth pointing out is that sometimes hints for code autocompletion are hard to pick (they select only after a couple of touches) on Huawei pro mate phone.,4,1,56.0.0,2022-07-04 13:20:28,"Hey Kasia! If you want to open a ticket with support.datacamp.com and confirm your account's email, we would be happy to take a look.",2022-06-28 09:27:17,NEGATIVE,cannot log account application update finally log app pretty decent enjoy datacamp content way teaching thing worth pointing sometimes hints code autocompletion hard pick select couple touches huawei pro mate phone,status quo sloth,account
960,46c0a0ad-29c6-486b-906d-9e7b8b947f13,Shuaibu Yusuf,https://play-lh.googleusercontent.com/a/AGNmyxZthCsBAyCeLB6OMI0uaCSpVWOPacL-X_t7bi51=mo,The app is easy to use. Like the short video lessons. But option to reduce video quality and transcribe of the video should be available to minimize data consumption for person for low income countries were data is quite expensive. Generally nice app and I am gradually learning. Thanks for making it free.,5,2,55.0.0,2022-06-30 07:21:47,,,NEGATIVE,app easy use like short video lessons option reduce video quality transcribe video available minimize data consumption person low income countries data quite expensive generally nice app gradually learning thanks making free,status quo sloth,person
989,6537f6e8-0c23-40df-9c6f-a33961a8c101,Chris Corneille,https://play-lh.googleusercontent.com/a/AGNmyxYsd5vuV3JhyaUhqlPtYbTWyKJqeOJVaTyEaeHp=mo,"Currently working through the Python Fundamentals Track (20+ modular course). It's more expensive than Udemy, but it's obvious why. Production is very good. The USP for me was the interactive python shell. You're introduced to a concept via a video, then apply it using real data. You can learn at your own speed and complete a daily challenge on what module you're currently studying. Hugo is good at keeping you motivated, funny guy.",4,0,55.0.0,2022-06-24 10:36:23,,,POSITIVE,currently working python fundamentals track 20 modular course expensive udemy obvious production good usp interactive python shell youre introduced concept via video apply using real data learn speed complete daily challenge module youre currently studying hugo good keeping motivated funny guy,"daily streaks, strike habit/competition, challenges","daily challeng, challenge mod, challeng, daily challeng"
1014,93cf2e0a-0333-4ca3-a950-595f1a1e4c15,Alison Okatch,https://play-lh.googleusercontent.com/a/AGNmyxZmFlScRunCDHFgIQmJz6z0uKX1yv2a5XbHjlaAsw=mo,I have trouble creating an account,1,0,,2022-06-21 10:15:44,"Hello Alison! If you can create a ticket via support.datacamp.com and include screenshots of what you're encountering, we would be happy to take a look.",2022-06-22 09:16:58,NEGATIVE,trouble creating account,status quo sloth,account
1099,7a47a394-45d1-4403-8691-67613ca34c22,Nagesh Bvrch,https://play-lh.googleusercontent.com/a-/ACB-R5RUQLWKiTKM_1GYvcViMc0gv8MjUOyr6NppKim2KA,"This app is very helpful, it keeps motivating. Especially, working on phone is very easy. We don't need any other workbench to download. One app for all courses. Thanks a lot for providing a nice app.",5,0,53.0.0,2022-06-01 09:21:10,,,POSITIVE,app helpful keeps motivating especially working phone easy dont need workbench download one app courses thanks lot providing nice app,boosters,special
1109,e327b092-ffef-4331-b2f5-0dfaab72cbde,Richard Roberts,https://play-lh.googleusercontent.com/a-/ACB-R5RbOztfIszLqa5oEUpOAoThXEg4MbhuFRS6nEBUew,Super easy to follow and learn. I especially like the practice and flashcards to help reinforce the learning.,5,0,53.0.0,2022-05-30 06:48:59,,,POSITIVE,super easy follow learn especially like practice flashcards help reinforce learning,boosters,special
1120,9bf3d3e5-d622-4f14-87aa-0dca138c1470,Tharun Nayak,https://play-lh.googleusercontent.com/a-/ACB-R5RlzSPcOqDSuihoBm7_anmOMEkcuuqfzppnCNj4gdA,"Best app, live exercises will give hands on experience I liked the format they use for teaching",5,0,53.0.0,2022-05-26 00:05:30,,,POSITIVE,best app live exercises give hands experience liked format use teaching,torture breaks,live
1142,80a67efb-f8c9-4546-9264-8632b5e0521a,Samuel Chekwube Aduah,https://play-lh.googleusercontent.com/a-/ACB-R5Ty2T880V1IskKvJwsnHv-PsudU_ylEPPfmmJ2G_Q,You are touching lives with this program....and the mode of teaching is top notch.,5,0,52.0.0,2022-05-20 17:54:32,,,POSITIVE,touching lives programand mode teaching top notch,torture breaks,live
1181,a151fcf5-4f5c-492b-ac1e-c2ff28572d59,Regina Galambos,https://play-lh.googleusercontent.com/a/AGNmyxYsKM0zZ4MRQyv8vfXklBg15eWqKhnAVoeIrxhW=mo,"Great app for practicing on the go. Love the flash cards! Please make them for all course content, they are really great for exam prep :)",5,0,,2022-05-13 16:34:01,,,POSITIVE,great app practicing go love flash cards please make course content really great exam prep,voting,content r
1188,3989100a-eab7-4fe3-bcb5-4bdc20f0616e,Nehal Pota,https://play-lh.googleusercontent.com/a-/ACB-R5TnzlTKCOS-CpFO-MrsbeLuxjgtMFeRqECnREaLCw,Hi. Can you please add more payment methods for Indian subscribers like google pay or paytm as I am unable to pay through my PayPal account.,3,0,52.0.0,2022-05-11 07:45:43,,,NEGATIVE,hi please add payment methods indian subscribers like google pay paytm unable pay paypal account,status quo sloth,account
1204,63a31a93-96e7-4704-9460-d9665f83e044,"Oladeji , ,Eunice",https://play-lh.googleusercontent.com/a/AGNmyxYc5F9xni75k8KuyBORgEVDZyzrFl-xQ5VaJPRs=mo,The course is really helping. I get to know more and have deep understanding especially in data science,5,0,50.0.0,2022-05-09 01:45:16,,,POSITIVE,course really helping get know deep understanding especially data science,boosters,special
1226,5bff6a2b-258a-4732-8316-9cde4a721022,Omotayo Isaac,https://play-lh.googleusercontent.com/a-/ACB-R5TmX-bXLOSXQeP29eBIIIGHyJFz3U_zVTOU1zIc1w,Extremely good. Include it in your personal kit!,4,0,45.2.1,2022-05-03 13:09:00,,,POSITIVE,extremely good include personal kit,status quo sloth,person
1249,130899a5-51e5-47eb-822a-c15553e237c6,Danielle D*,https://play-lh.googleusercontent.com/a-/ACB-R5Ql_LpaGdP_GNgY1HKp-DveQssvvbYt5mhaTphse3o,I'm using the app for the simpler stuff I'm reviewing; and the desktop for the more challenging modules that require longer code and practice. Going good so far.,5,0,51.0.0,2022-04-30 21:39:36,,,POSITIVE,im using app simpler stuff im reviewing desktop challenging modules require longer code practice going good far,challenges,challeng
1320,375db821-eb9f-4ff4-8ea2-f4ab56936905,Muhammad Fariz Abdul Jabbar,https://play-lh.googleusercontent.com/a-/ACB-R5SQ74vilZaf0GiSOH5Med9vZDoMD-dBg7SXxYs1LA,Hope there's special price for students,5,0,50.0.0,2022-04-20 13:27:12,,,POSITIVE,hope theres special price students,boosters,special
1352,14b29380-884a-415d-ba4a-240755159816,DIVINE JOHNSON,https://play-lh.googleusercontent.com/a/AGNmyxYhsSTiv2voQt4oeNsLUNZSd65RSJZld7QQC6jG=mo,DataCamp app is great for a beginner level in coding. The daily challenge in app is a great way of a consistent learning.,4,0,50.0.0,2022-04-19 04:26:39,,,POSITIVE,datacamp app great beginner level coding daily challenge app great way consistent learning,"daily streaks, challenges","daily challeng, challeng, daily challeng"
1376,9871bd00-51d4-4371-b787-576ba806bb1a,Craig Renn,https://play-lh.googleusercontent.com/a/AGNmyxZ5g05GGfQ7beJQMRmpgciEvCjiG9dd-hKQz-Js=mo,Not very useful if basics are behind a paywall or time restriction.,1,0,50.0.0,2022-04-17 19:05:53,,,NEGATIVE,useful basics behind paywall time restriction,torture breaks,"time restrict, paywal"
1391,6ccee140-a708-4aac-a63a-1606338e6411,anna preble,https://play-lh.googleusercontent.com/a-/ACB-R5Ss8UFrlniMxTe-uGFmhjaEG0tDhdfzey8PgH0MCFQ,"I've been studying Python and Tableau, as well as brushing up on my SQL. I've accessed this site on my laptop and my mobile device; both are comparably user-friendly. The in-browser coding window is the most bug-free of any site from which I've trained. I like the ""hint"" feature which gives a nudge in the right direction (with a small point penalty) without totally giving away the answer. Classes are well delivered well and the explanations are pretty clear.",5,46,50.0.0,2022-04-16 17:48:06,,,POSITIVE,ive studying python tableau well brushing sql ive accessed site laptop mobile device comparably userfriendly inbrowser coding window bugfree site ive trained like hint feature gives nudge right direction small point penalty without totally giving away answer classes well delivered well explanations pretty clear,torture breaks,live
1409,f4b9bec4-fdbb-4749-b599-0fa3ce5e93fb,Erdem Rençbereli,https://play-lh.googleusercontent.com/a-/ACB-R5TPfg8qJATftNyD7JF9PJXUIuuJMFpTZQp40AG-hQ,"Great app, just a small feedback, daily reminders should be sent to get us back in the mobile app and keep the strake going",5,0,50.0.0,2022-04-15 16:50:28,,,POSITIVE,great app small feedback daily reminders sent get us back mobile app keep strake going,daily streaks,daily remind
1495,721849c9-c096-4002-9460-c94f4cf275e7,azzeal adeel,https://play-lh.googleusercontent.com/a/AGNmyxbvdKZAxEG83x11rjUE7K97fhDCH5Tz1g9FsD7x=mo,"Apps is good but it has one big problem I'm unable to upgrade my account by using my mobile credit, kindly add that functionality too so we can upgrade our account or purchase new deals via mobile credit.. thanks",2,0,49.0.0,2022-04-02 07:01:24,"Hi Azzeal

Thanks for your feedback! Could you kindly send us a message here(https://support.datacamp.com/hc/en-us/requests/new)? We will certainly further look into this for you.",2022-04-05 04:29:35,NEGATIVE,apps good one big problem im unable upgrade account using mobile credit kindly add functionality upgrade account purchase new deals via mobile credit thanks,status quo sloth,account
1501,38e1b347-2e64-4a31-b6c3-5bf3c743b47a,Ross Watkins,https://play-lh.googleusercontent.com/a-/ACB-R5SDkXG5akpRN7un-OxwVR3C2b9RKlsFmYZAc4bK,"How can I learn about Data science without participating in the gathering of data. App is well structured and user friendly. Information is easily understood and delivered in a concise way. Overall, great app! I look forward to learning more.",5,4,49.0.0,2022-03-31 10:33:54,,,POSITIVE,learn data science without participating gathering data app well structured user friendly information easily understood delivered concise way overall great app look forward learning,torture breaks,live
1545,be2fb7a6-1411-43ad-b7a5-c094a991d96e,Grace Ucheoma,https://play-lh.googleusercontent.com/a-/ACB-R5TgpTlvIRzDZKuF0XrKM677_StYjTMXC_QBVR0MK6Q,"I've been using this app for a while now and there are no regrets so far.. User friendly interface and I especially like the way lessons are broken down to almost the simplest form, thereby making it easier for a beginner to adapt.",4,0,47.0.2,2022-03-17 22:31:01,,,POSITIVE,ive using app regrets far user friendly interface especially like way lessons broken almost simplest form thereby making easier beginner adapt,boosters,special
1565,588b1844-089b-4315-9b8b-92f261f5ebb8,Rishabh Bahuguna,https://play-lh.googleusercontent.com/a-/ACB-R5S1PPhzvAoPUr4wcS_Fv3cVS-Raf2kEyRRRPvCNCg,Crisp and quality content delivered in a very effective manner.,5,0,47.0.2,2022-03-09 02:58:47,,,POSITIVE,crisp quality content delivered effective manner,torture breaks,live
1588,0e962dbd-54ee-4263-8bab-4de4eae5cdc3,Geevan R,https://play-lh.googleusercontent.com/a/AGNmyxaKZcXLnPako1qPUMlgI_6CnYmKCDRw4ykGNuMi=mo,"Excellent especially when you're waiting, commuting or just restless.",5,0,46.0.0,2022-03-02 22:24:36,,,POSITIVE,excellent especially youre waiting commuting restless,boosters,special
1595,781d0357-923d-4ec2-a89b-5dfafa399495,Franklyn De S,https://play-lh.googleusercontent.com/a-/ACB-R5T2A56n1qyci_UprUZTVRTK6nOgoURjolswnnkP,"The audio just Haaad to be diverse and uncustomizable, huh? Good grief.",1,0,46.0.0,2022-02-28 02:25:03,"Hi There,
We're sorry to hear of the experience you're encountering and will certainly further look into this to provide the best resolution for you.
Could you kindly reach out to our Support Team by submitting a support request here https://support.datacamp.com/hc/en-us/requests/new? We are looking forward to hearing from you!",2022-02-28 03:03:17,NEGATIVE,audio haaad diverse uncustomizable huh good grief,status quo sloth,custom
1608,cc113213-b3dc-4438-a9c1-1ac84030deb5,Kalp Shah,https://play-lh.googleusercontent.com/a-/ACB-R5S6RWc06Xpti2slwLV66mbS__Fii350sIvV32t6,Best in terms of content but worst thing about this is my premium account expired only in 4 days instead of 1 month for which I have paid.,1,0,,2022-02-25 00:21:36,"Hi There,
We're sorry to hear of the experience you're encountering and will certainly further look into this to provide the best resolution for you.
Could you kindly reach out to our Support Team by submitting a support request here https://support.datacamp.com/hc/en-us/requests/new? We are looking forward to hearing from you!",2022-02-25 04:05:53,NEGATIVE,best terms content worst thing premium account expired 4 days instead 1 month paid,status quo sloth,account
1623,f91ba3ae-ee41-402f-8bee-3520cd00a0f9,Isaac Bejide,https://play-lh.googleusercontent.com/a-/ACB-R5TR8MFFiMgPWflvzdCoKhCXknDUhI2ocg9orsGpbg,"It's been a wonderful experience to be able to gain online Data Science experience such as this tool could deliver. I'm looking forward to completing these tracks, to get to the bottom of the richness of this tool.",5,0,46.0.0,2022-02-20 17:18:30,,,POSITIVE,wonderful experience able gain online data science experience tool could deliver im looking forward completing tracks get bottom richness tool,torture breaks,live
1625,c186209c-9311-41c5-b41a-3d70c0f44011,Leah Malabanan,https://play-lh.googleusercontent.com/a/AGNmyxY54yHeAK0cMXVXOSroOMMSCwiZdV1Sz8YnBCuv=mo,Very convenient to use especially for courses that don't involve coding.,5,0,46.0.0,2022-02-20 10:19:33,,,POSITIVE,convenient use especially courses dont involve coding,boosters,special
