Unnamed: 0,date,developerResponse,content,rating,isEdited,userName,title,sentiment,matched_python,reviewId,userImage,review,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt
455,2020-03-02 13:57:10,"{'id': 13912421, 'body': ""Dear Friend,\nWe're glad that you're having a great time with us. Every little encouragement helps us continuously improve :) So, if you like our app, please consider increasing your rating for us. If you have any suggestions, please let us know at Hello@prghub.com. We'll be very very happy to hear from you!\n-PA\n"", 'modified': '2020-03-07T17:56:19Z'}","Hi

It is really a fun way to learn python because you can control the speed of the lessons. You click continue after you fully understand the stuff. The MCQs help the learner to reinforce his understanding and memory.

Regards
Lim",4,False,bengpok,A fun way to learn python,POSITIVE,python,,,,,,,
11,2023-03-25 05:46:32,,,5,,Miguel Ponte,,POSITIVE,python,b8663fe1-b5b5-4ef9-b665-8286d9158db2,https://play-lh.googleusercontent.com/a-/ACB-R5Rtnud8c_zSH2MD6fZTXwyPokO6Rgh6ApS6nnb7,"I been using this since the winter time. Guys go for the full pro membership, honestly it's worth the investment. Of course you are going to have some self-taught initiative but this gives people a great base of knowledge to start with. Honestly I been coding for a while, always elementary. But with The Programming hub Pro app, I have been able to enhance my basic knowledge of html into html 5 knowledge and of python to accomplish more understanding of difficult algorithms.TY, This app is Boss😎",0.0,5.1.63,,
245,2023-03-09 22:20:08,,,5,,Labib Rifa,,POSITIVE,python,1d04c088-c694-4e91-9d09-440ecaa8224a,https://play-lh.googleusercontent.com/a/AGNmyxaPN7UcEcD_XY4RQCyECJXCFBFq-kfCzy_pX_vA=mo,"It's very easy to learn python, java, etc. Thanks for the app 😊 😎😎😎",0.0,5.1.66,,
357,2023-02-28 02:29:34,,,5,,Adarsh Kumar Dey,,POSITIVE,python,b36231cd-3a57-4e04-bdf0-2e9d03dbd197,https://play-lh.googleusercontent.com/a/AGNmyxYjwyQ-3vV8-flRu6451GZIIaTuwq3Uq0fjtJHz=mo,It is a very good app to learn python every one who wants to learn python should download this app,0.0,5.1.64,"Dear Adarsh
Thank you! Your feedback is important to us. Please continue supporting us so we will always have a reason to keep improving our content and make your learning experience an enjoyable one. If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-JP",2023-03-01 13:15:36
501,2023-02-16 17:58:51,,,5,,Drew,,POSITIVE,python,4e93adb0-36f4-4627-9d86-6143384e2301,https://play-lh.googleusercontent.com/a-/ACB-R5Qvzr79osYJ-yd09kSD4ITHWz3CydMBSEPiBtBDVA,Combining this and their python app together and very pleased with the way they teach programming. Got the pro version as well so looking forward to seeing the certification process and applying the tools in the real world,0.0,5.1.63,"Hello,
Thank you! Your feedback is important to us. Please continue supporting us so we will always have a reason to keep improving our content and make your learning experience an enjoyable one. If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-JP",2023-02-21 13:19:40
547,2023-02-12 06:02:08,,,5,,Nnenna Olanrewaju,,POSITIVE,python,5db26aab-d215-4fca-a9bf-c86b2da5da7b,https://play-lh.googleusercontent.com/a-/ACB-R5RUot1DUv3i25UdtiFzlof-0Vc1172tSan70xAe,this app makes it easy for me to know python java almost all.programming languages but i just sisb i could do more courses without pro,0.0,5.0.8,"Dear Friend
Thanks for the awesome review, We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you. For any assistance do not hesitate to reach us out at Hello@prghub.com, we would be very happy to support you.
-JP",2023-02-13 00:42:10
683,2023-01-30 09:58:45,,,5,,Najeeb Quazi,,POSITIVE,python,e5f8284e-105e-4a25-8a62-2eff5de871ba,https://play-lh.googleusercontent.com/a/AGNmyxZjS2GEwQblRmL_Cmc8-w2IhKvy2YdrqE_jA1Qo=mo,It's such a good app for beginners and for those who know little about python,0.0,5.1.60,"Dear Friend
Thanks for the awesome review, We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you. For any assistance do not hesitate to reach us out at Hello@prghub.com, we would be very happy to support you.
-JP",2023-01-30 13:55:00
867,2023-01-15 05:11:53,,,5,,Technical Black Diamond,,POSITIVE,python,464043d4-d948-45fd-8ef0-bc7049224eb1,https://play-lh.googleusercontent.com/a-/ACB-R5QeIyNn_mRRMdO9UcDGwARtI0HZcteHdhJyBihN,Good app for learning html and python is a good app and there are some free courses too learn,1.0,5.1.60,"Dear Technical
We are very happy that you find us to be the best. Your feedback keeps us motivated to make your learning experience absolutely enjoyable. If you need any assistance, feel free to get in touch with us at Hello@prghub.com so that we can help you better.
-KY",2023-01-16 23:14:16
1144,2022-12-23 09:04:22,,,4,,Nathan Watts,,NEGATIVE,python,2800b61f-9c95-4162-883e-8f3fdb1acbac,https://play-lh.googleusercontent.com/a-/ACB-R5RcmVeCV2dAEbRDStKAcdbJSjwf2iAn6ObnNIKBDfA,"I got pro pretty quick so i don't remember the free version to compare. I finished python but i still dont know python, lol this app is missing a practice space or somewhere to repeat typing lines of code for better learning. I have ideas but my ideas arent free.",0.0,5.1.59,"Dear Friend
We have received your query. Sincere apologies for any inconvenience caused. Please be assured that we are here to help you Can you please help us by explaining your issue in detail at Hello@prghub.com so that we can assist you better :)
-JP
",2022-12-26 13:42:27
1606,2022-11-11 22:30:41,,,1,,Ian Mount,,NEGATIVE,python,7bc3902a-f4c2-42e1-9e0b-dd4e4ef15dc0,https://play-lh.googleusercontent.com/a/AGNmyxYz7yu4o38-FebNT3hPMP2EEftTIZOPdbHsJOgX=mo,I really need someone from admin to get back to me I purchased the pro lifetime account and received my first certificate for python re logged back into my account the next day and it's empty has no certificates is still Pro has no progress,0.0,,"Dear Friend
Please accept our sincere apologies. We request you to log out and log in / reinstall the application to check if it works. If it doesn't, please share your purchase receipt and registered email id at  Hello@prghub.com and we will definitely solve your issue
-MB",2022-11-12 05:38:44
1744,2022-10-30 02:27:47,,,5,,Kumar Reyyi,,POSITIVE,python,023f388a-92fe-44f7-ab38-e666c76d5a80,https://play-lh.googleusercontent.com/a/AGNmyxZH32u5R_cXy3V27dspTrBorq7yId7l_NYYM3gS=mo,Excellent app for using python programming,0.0,5.1.57,"Dear Friend
Hurray! Your feedback really means a lot to us! We really appreciate you taking the time out to share your experience with us.If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-",2022-11-10 11:18:33
1793,2022-10-26 20:16:46,,,5,,Beto Chavez,,POSITIVE,python,1449bd42-acc1-40d8-bc82-495d1c3d3e8a,https://play-lh.googleusercontent.com/a-/ACB-R5Rhu3sUSwTjDJRLYaDkRXA5lpiw6MAX8KNFtGSzBQ,"The app Is fire 🔥 👌, the modules are easy to understand and clear, I like the Compiler feature to test out my queries for SQL, The python module is a wealth of knowledge. Learn at your own pace. Go premium to unlock all the features.",0.0,5.1.57,"Dear Friend
We are very happy that you find us to be the best. Your feedback keeps us motivated to make your learning experience absolutely enjoyable. If you need any assistance, feel free to get in touch with us at Hello@prghub.com so that we can help you better. Happy Learning!
-",2022-11-10 11:30:17
1916,2022-10-14 16:00:35,,,5,,Abraham Akame,,POSITIVE,python,a97b75f6-54f4-4fbe-ab30-3d2dd713c46f,https://play-lh.googleusercontent.com/a-/ACB-R5SFTeTvXYs1-KNITewzBUExISq-YHccuUkPzrmMmg,This App simplify python learning to the understanding of those who have no knowledge about python. I am so happy that I came across this wonderful app. I will give it a 5 star rating,0.0,5.1.57,"Dear Friend
We are very happy that you find us to be the best. Your feedback keeps us motivated to make your learning experience absolutely enjoyable. If you need any assistance, feel free to get in touch with us at Hello@prghub.com so that we can help you better.
-",2022-11-10 12:16:17
1938,2022-10-12 23:49:11,,,2,,Louis Walker,,POSITIVE,python,c6523328-b701-4379-bae9-1b714a97ea37,https://play-lh.googleusercontent.com/a-/ACB-R5SJBVnFe0UXXVuMB52Q2Q3yXn-KVMZ_nHdIFDkq3g,Happy Anniversary!!! Best programming app I ever used. And for the price I had to have it. This is my second day of learning and I completed all of the python classes and went to start a new course and it keeps sending me to this app and I payed for the lifetime membership so I wanted to start Ethical Hacking and Cyber Security and do a couple of the readings and when it hits pro it tells me I have to buy another lifetime membership I already paid for it. So now I have 2 pay twice Star Drop,0.0,5.1.57,"Dear Louis

We understand how frustrating it would be. We request you log out and log in / reinstall the application to check if it works. If it doesn't, please share your purchase receipt and registered email id at  Hello@prghub.com and we will definitely solve your issue
-JP",2022-10-14 15:50:17
2273,2022-09-19 13:22:05,,,5,,Hridesh Chandra,,POSITIVE,python,07b8a2d3-843a-4db8-8c72-e44a666260ae,https://play-lh.googleusercontent.com/a-/ACB-R5Q8uY_93v7jIAoyVO0k1wEhJLZeqskp6actDe5ZzA,It's better than Mimo in many places because Mimo gives incomplete knowledge in free version but mimo teaches you better in many places.Mimo is also necessary to learn python for beginners.Mimo has lesser courses but this one has more courses.This app also takes test to memorize you which is sufficient enough for almost everyone.,2.0,5.1.57,"Dear Friend
Hurray! Your feedback really means a lot to us! We really appreciate you taking the time out to share your experience with us.If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-",2022-09-20 15:19:44
2393,2022-09-12 13:06:47,,,5,,megha singh,,POSITIVE,python,b1c3626c-68f9-4c97-ae35-829fb375f86a,https://play-lh.googleusercontent.com/a-/ACB-R5Sq36FBd2Y2uW0i3tzju7W4f6tocf-vqsBVoZhNBw,Its app helpful for us and its i learn the python language,0.0,5.1.57,"Dear Friend
Thank you for your wonderful feedback! Our goal is to make your learning experience with us enjoyable and straightforward. Do recommend us to your friends too! :) If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!
-",2022-09-13 14:01:54
2408,2022-09-11 13:26:58,,,5,,Justin Seda,,POSITIVE,python,d54a3082-c34e-4887-8246-96388d963bd1,https://play-lh.googleusercontent.com/a-/ACB-R5TTMreS1yKNN25pUp-JHwf8hF3XmYmvAQ5jV9l7wA,"Just got my certificate in python 2, working on version 3 as well as cryptography and a few other subjects. The courses are perfect for independent learners, they don't make you an expert, rather give you the grounding needed to further learn on your own.",0.0,5.1.57,"Dear Friend
We are very happy that you find us to be the best. Your feedback keeps us motivated to make your learning experience absolutely enjoyable. If you need any assistance, feel free to get in touch with us at Hello@prghub.com so that we can help you better. Happy Learning!
-",2022-09-12 13:02:21
2435,2022-09-10 05:15:08,,,5,,Tankman,,POSITIVE,python,f790c29e-b359-46c8-aac9-b7a86b12db43,https://play-lh.googleusercontent.com/a-/ACB-R5Q1PszQQkEDziBc7RtZnU8Mz5H3eiYBJmISePJwQg,This app is so helpful. and he learned me some python scripting,0.0,5.1.56,"Dear Friend
We are very happy that you find us to be the best. Your feedback keeps us motivated to make your learning experience absolutely enjoyable. If you need any assistance, feel free to get in touch with us at Hello@prghub.com so that we can help you better.
-",2022-09-10 14:00:16
2485,2022-09-07 00:54:32,,,5,,Tiffany The Motivator,,POSITIVE,python,549a019c-ec57-4d8c-8642-e600128a3608,https://play-lh.googleusercontent.com/a-/ACB-R5S_M_0U0h9szYAulsjcTZJO6tsISJJckm2Bo1Ls,"I'm excited to learn java, python, Blockchain, solidity, and smart contracts to implement into my company",0.0,,"Dear Friend
Thank you! Your feedback is important to us. Please continue supporting us so we will always have a reason to keep improving our content and make your learning experience an enjoyable one. If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-",2022-09-10 14:18:17
2493,2022-09-06 10:53:49,,,5,,Solomon Daniel,,POSITIVE,python,f07bb183-c977-4510-87de-c1784f15bc7a,https://play-lh.googleusercontent.com/a/AGNmyxZ1DOKXG7QmHIzEFZihF0fLGfAe8WNGitEAjBwQ=mo,It's great learning python with the programming hub,0.0,5.1.56,"Dear Friend
Thank you for your wonderful feedback! Our goal is to make your learning experience with us enjoyable and straightforward. Do recommend us to your friends too! :) If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!
-",2022-09-06 12:16:50
2644,2022-08-26 03:36:27,,,1,,Patrik Niklasson,,NEGATIVE,python,9b88e3c3-81ab-4b80-bfca-3088af7a4e6f,https://play-lh.googleusercontent.com/a/AGNmyxb0cI0Bd9XUpeEU_JjNYRsN5vkdIxG4p8V7qhDf=mo,"You can't get so far with python, and I think this and the app ""hacking"" crashed my phone quite bad. Forget about the pro model and just use ads like any sane person. Also, Mozilla has a good HTML guide on their website.",0.0,5.1.56,"Dear Friend,
We apologize for the inconvenience caused, please reach us athello@prghub.com so that our agent will get back to you and guide you further.
-KY",2022-08-26 23:01:42
2844,2022-08-14 12:28:18,,,5,,R.Jutson Santhosh,,POSITIVE,python,13a6c26c-f6a0-4a4e-948d-e19c0c1d04a4,https://play-lh.googleusercontent.com/a-/ACB-R5Skg0tA1qIBvGxZcbqNmY9X0Xhrz0M3s8oehoQ30w,It was very useful for learning the hacking and more things such as coding programming JavaScript and python so many specialties and features was available in the SAP please download the app and you set for to become a best programmer or best hacker this purpose this I have so very useful for us so we have to download this app and use it and get more and more right in our technology world.,0.0,5.1.56,"Dear Friend
Thank you for your wonderful feedback! Our goal is to make our learners the happiest and we will do everything for the same. Do recommend us to your friends too! :) If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!
-PS",2022-08-16 02:49:02
3111,2022-07-31 15:47:17,,,5,,Raymond Rahmer,,POSITIVE,python,7a65e4de-331b-4170-bc44-edd07d840e22,https://play-lh.googleusercontent.com/a/AGNmyxY5qYFZpnNeY-xCJLe-ONwNkF03ggkbl3gZ4xo1=mo,Over all I was able to learn a bit of python code. I love how the narrator goes in depth about how the program works.,0.0,5.1.56,"Dear Friend
Thanks for the awesome review, We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you. For any assistance do not hesitate to reach us out at Hello@prghub.com, we would be very happy to support you.
-",2022-08-01 15:46:26
3134,2022-07-30 04:48:31,,,4,,Vishal Choudhary,,POSITIVE,python,5c6974d6-a1d3-4074-bf20-79d4201015f5,https://play-lh.googleusercontent.com/a-/ACB-R5Sow-Q-9yWeeG7GQaCrt6YjegVgtQvjKvg-lWbJOQ,It is very nice app for learning python language.,0.0,5.1.56,"Dear Friend
We are very happy that you find us to be the best. Your feedback keeps us motivated to make your learning experience absolutely enjoyable. If you need any assistance, feel free to get in touch with us at Hello@prghub.com so that we can help you better.
-",2022-07-30 05:16:20
3270,2022-07-20 20:46:47,,,5,,Saidu Bangura,,POSITIVE,python,da988524-8f91-4158-a660-2531721d6b1e,https://play-lh.googleusercontent.com/a/AGNmyxa2AATPkFskVJUERTj-3T0QM-R1o4FxBdSc9WLn=mo,"This app is an incredible app, and i have been looking for an app to learn python and i have just found an incredible app",0.0,5.0.8,"Dear Friend
We're glad that we have been helpful to you. It is our goal to make your learning experience truly delightful and enjoyable. Do recommend us to your friends too! :)If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!
-",2022-07-19 14:26:01
3336,2022-07-15 21:37:13,,,5,,Md Hacker,,POSITIVE,python,3bec759c-4aa1-4875-b146-f0b7c96b4c1c,https://play-lh.googleusercontent.com/a-/ACB-R5TCS1TBxaxX3tx_a_1OauybLZudb2ZnCGgutnyvRw,I have learn python basics.,0.0,5.1.55,"Dear Mohamed
Thank you for your wonderful feedback! Our goal is to make your learning experience with us enjoyable and straightforward. Do recommend us to your friends too! :) If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!
-PS",2022-07-16 02:21:35
3346,2022-07-15 09:10:36,,,5,,ROOHAN SAMI,,POSITIVE,python,a7aaed4e-eb99-4299-80e3-1a0a567f7b34,https://play-lh.googleusercontent.com/a-/ACB-R5T5KZhGXl_3felw0sP2PJYUJjrgRoMFGW1eH_Ab,Very good teaching app. You can easily learn python like programming languages with this amazing app,0.0,5.1.55,"Dear Roohan
Thanks for the awesome review, We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you. For any assistance do not hesitate to reach us out at Hello@prghub.com, we would be very happy to support you.
-PS",2022-07-16 02:21:52
3361,2022-07-14 10:44:41,,,5,,manish pal,,POSITIVE,python,af1455f5-dc6d-483a-8c72-6bed64ba1b3f,https://play-lh.googleusercontent.com/a/AGNmyxaq5JqL2LZV2aDQMmeQ6_0jPCZbeMKZf7WMeG0L=mo,"Great help,i think python was too hard to learn but they make it easy",0.0,5.1.55,"Dear Friend
Thank you for your wonderful feedback! Our goal is to make your learning experience with us enjoyable and straightforward. Do recommend us to your friends too! :) If you need any assistance, please reach us at Hello@prghub.com and we'll be very happy to assist you!
-",2022-07-14 14:16:15
3471,2022-07-08 06:36:36,,,2,,MOHAMAD NOLE,,NEGATIVE,python,8a95ae35-7c29-4e22-a338-cdfc6bafa6ef,https://play-lh.googleusercontent.com/a/AGNmyxb2-pAr1WedS-2wUo_RZavRTXwxdWKHjeHlbV7b=mo,Good application for all but there is an issue happend with me. I wrote my name incorrectly on the python certificate. I'm a pro memership where is the justice? I need the solution,0.0,,"Hi MOHAMAD,

Apologies for the inconvenience. Changing the profile name is not available yet. But, when you complete a course, you can enter your correct name to be displayed in the certificate. If you miss changing it there, please reach us out at Hello@prghub.com with the certificate ID & correct name. We'll be very happy to assist you!

-JP
",2022-07-08 12:17:47
3682,2022-06-25 09:50:50,,,5,,Flex FF,,POSITIVE,python,a2c8d5db-b426-444c-88cb-84463e9e1618,https://play-lh.googleusercontent.com/a/AGNmyxb4NqQOwoO6WTJrKtv5ZatTfGaxhrI1RHFDMCYq=mo,"Learned python, it's really easy from this application. Highly recommended",0.0,,"Dear Friend
Hurray! Your feedback really means a lot to us! We really appreciate you taking the time out to share your experience with us.If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-",2022-06-25 13:21:55
3730,2022-06-22 15:02:52,,,5,,Shameem Alam,,POSITIVE,python,c92629c0-1d61-4b73-87d8-695ec1baa415,https://play-lh.googleusercontent.com/a-/ACB-R5TspVZlNcOe7bEzrqf_KkrUKOIV_hL2on3FbopQWg,Best learning apps for java ... Can i get same learning apps for html and python With voice and video,0.0,5.1.53,"Dear Friend
Thanks for the awesome review, We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you. For any assistance do not hesitate to reach us out at Hello@prghub.com, we would be very happy to support you.
-PS",2022-06-23 01:39:59
3784,2022-06-19 15:10:10,,,5,,Juan José Ramirez Gonzalez,,POSITIVE,python,45d11ba6-7465-4559-b037-36d3175d71c8,https://play-lh.googleusercontent.com/a-/ACB-R5Rz7T8JvN0T4C2UsYIFl8JPl-Hvn8MBU7s-uL24LA,The best app to learn python!!!,0.0,5.1.53,"Dear Friend
Hurray! Your feedback really means a lot to us! We really appreciate you taking the time out to share your experience with us.If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-",2022-06-21 03:22:06
3936,2022-06-10 19:31:57,,,5,,Alex Dustin Capps,,POSITIVE,python,15b67c4d-c234-4886-97a9-7f197440c617,https://play-lh.googleusercontent.com/a/AGNmyxaWKtMXFHU77gb97r3QxwNjl9ihon0ih8Ko7_rW=mo,Great app. I just learnt python in 5 minutes,0.0,,"Dear Friend
We are very happy that you find us to be the best. Your feedback keeps us motivated to make your learning experience absolutely enjoyable. If you need any assistance, feel free to get in touch with us at Hello@prghub.com so that we can help you better. Happy Learning!
-",2022-06-11 02:04:35
4122,2022-05-29 01:23:11,,,5,,Tejam Gupta,,POSITIVE,python,d09f19c4-a8c5-4095-9c67-5c554b8a512b,https://play-lh.googleusercontent.com/a/AGNmyxbZLgV0o6qTK3pmIZtEfIOeAWdTgzkFN1Zutwk0=mo,"It is the best app ever to code . I wanted to learn python in free but there was only an option, grasshopper and it teaches JavaScript but that's not what I wanted. Now I have completed all cources and I am a professional coder and by help of its other app I am too a hacker",0.0,5.1.51,"Dear Friend
We are truly delighted to know that your experience with us has been great. It really helps us keep ourselves motivated to continuously improve our content and serve our learners better. If you need any help, feel free to get in touch with us at Hello@prghub.com and it will be our pleasure to assist you!
-PS",2022-05-30 04:00:19
4193,2022-05-24 06:42:29,,,5,,Nandha kishor Nandha kishor,,POSITIVE,python,97c5aecd-a92a-4433-b328-edf45dbae11d,https://play-lh.googleusercontent.com/a-/ACB-R5S5mvlizgnp_c2pEb7DGNtUFJih6U_GNAnCjF-F,"In programming hub I'm learning so faster than I think I learned python basics and Java basics,i hope the programming hub is introducing some more best features in future this will made your rating downloading increase yours technology is good your teaching process is unbelievable so keep it up you have a bright future 😍😛😍😛😜😎😝😍😍😝😝😎😝😝😍😛😝😝😎😎😎😝😝😍😍😍😛😍😝😎😎👺👹💖👺👺👹💖💖👹👹👺👺🕴🕴🙊🙊🙊🙊😀🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙁🙁🙁🙁🙁🙁🤗🤗🤗🤔😇😆😅🙂🙂☺🤐🙂🤗🤗🤗😇☺😈😈😈😈😈😈h",1.0,5.1.51,"Dear Nandha
Hurray! Your feedback really means a lot to us! We really appreciate you taking the time out to share your experience with us.If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-PS",2022-05-25 00:30:52
4463,2022-05-08 10:54:14,,,5,,Mercy Okon,,POSITIVE,python,84789804-f577-4bfe-bf91-1e338c5bfcc1,https://play-lh.googleusercontent.com/a/AGNmyxbN0AaTwS5Q7_XrF0ycXLb6S5-9JMR3YDgJZ6pY=mo,It's my first time learning about python and I can say it's really interesting,0.0,5.1.51,"Dear Friend
Hurray! Your feedback really means a lot to us! We really appreciate you taking the time out to share your experience with us.If you need any assistance, please feel free to get in touch with us at Hello@prghub.com so we can help you better.
-PS",2022-05-09 22:57:34
4921,2022-04-06 02:04:43,,,4,,YAMOAH PHILIP OMANE,,POSITIVE,python,f604e984-ca66-407a-a673-1deb1d274906,https://play-lh.googleusercontent.com/a-/ACB-R5TGd9MyI57xXajCTv9_7U4CrqcmiRSr_T_6X_nSAg,"It's a very nice and easy to use app, will recommend it to anyone who wants to learn the basics of python",0.0,5.1.50,"Hey Friend,
We hope that you are having a great experience with us. We would be excited if you could support us with a higher rating. Ever,any issue bugs you? No worries. We are just a mail away at hello@prghub.com.
-KY",2022-08-28 11:34:21
5106,2022-03-21 08:04:11,,,5,,Divyansh Choubey,,POSITIVE,python,ef29ffe1-9852-4c20-bf10-26d8ebf64f0d,https://play-lh.googleusercontent.com/a-/ACB-R5Q8oKA10Ef1BkuXZ6SK6g9I1gQv1lLBSaggw0L9,Very awesome app I learned a little bit of python in just 3 hours😎😎,0.0,5.1.50,"Dear Friend
We are truly delighted to know that your experience with us has been great. It really helps us keep ourselves motivated to continuously improve our content and serve our learners better. If you need any help, feel free to get in touch with us at Hello@prghub.com and it will be our pleasure to assist you!
-PS",2022-03-21 10:28:59
